source,target
87 percent of people of 18 to 29 years old are registered. ,87 percent who are people of 18 to 29 years old are registered. 
"87 percent of adults from 18 to 29 use facebook, as well as 73 percent of adults from 30 to 49, 63 percent of the age 50 to 64 and 56 percent of users older than 65. ","87 percent of adults from 18 to 29 use facebook, as well as 73 percent of adults from 30 to 49, 63 percent at the age from 50 to 64 and 56 percent of users older than 65. "
"90 percent is a maximum among the candidates, who have a skilled vocational diploma. ","90 percent is a maximum among the school graduates, who have a skilled vocational diploma. "
"90 percent per cent of men hold the skilled vocational diploma, whereas it is nine times higher than figure for women. ","90 percent per cent of men hold the skilled vocational diploma, whereas it is nine times higher than the percentage number for women. "
"a am not a fan of precious elements like a portico of fountains in the luxury gardens, but in my mind buildings should look like an attractive element of the city. ","i am not a fan of precious elements like a portico of fountains in the luxury gardens, but in my mind buildings should look like an attractive element of the city. "
a big amount of people whose eyes became to see worse. ,a great many people whose eyes became to see worse. 
a big period of time in russia there are was a lot of pirate copies. ,for a long time in russia there are was a lot of pirate copies. 
a bigger amount of police also can help country to reduce more crime. ,a bigger number of police also can help country to reduce more crime. 
"a bit fewer than a half of the yemen population in 2000 were 15-59 years people, but in italy were about 61,6 percent of them. ","a bit fewer than a half of the yemen population in 2000 were 15-59 years old people, but in italy were about 61,6 percent of them. "
a building's style may say a lot about its history. ,a building's style cab say a lot about its history. 
a case of point is that the people who uses computers a lots should to be advertised by sport activity. ,a case of point is that the people who uses computers a lot should to be advertised by sport activity. 
a close look at data helps to notice that the youngest ones spend a lot of time to do sport and the oldest ones spend a very few time doing exercises. ,a close look at data helps to notice that the youngest ones spend a lot of time to do sport and the oldest ones spend very little time doing exercises. 
a closer look at charts reveals the number of medium-aged and elderly people is predicted to increase. ,a closer look at charts reveals the number of medium-aged and elderly people is expected to increase. 
"a closer look at graphic reveals that goods transported by rail had food products, which massive 11 percent . ",a closer look at the graph reveals that goods transported by rail had food productswith 11 percent . 
"a closer look at the data shows, that it is art course that has approximately equal parts of all age groups, while other courses have more specialisation in the age of listeners. ","a closer look at the data shows, that it is art course that has approximately equal parts of all age groups, while other courses have a narrower age ranges. "
"a closer look at the graph reveals that to carry out this evaluation it is better to look at paired cases because some countries showed similar pattern during this 15 year period: germany and new zealand, great britain and the usa. ","a closer look at the graph reveals that to carry out this evaluation it is better to look at paired cases because some countries showed similar pattern during this 15 year period: germany and new zealand, the uk and the usa. "
a closer look at the line-charts highlights the fact that figures for minimum temperature in both cities copy tendency of the figures for maximum temperatures. ,a closer look at the line-charts highlights the fact that figures for minimum temperature in both cities copy tendency of that for maximum temperatures. 
"a closer look on data shows that in the northern africa level of unemployment remained stable and consist 12,5 percent . ","a closer look on data shows that in the northern africa level of unemployment remained stable and was 12,5 percent . "
a closer look on the chart shows that machinery dropped by 2 percent . ,a closer look on the chart reveals that machinery dropped by 2 percent . 
a considerable decline of number of children a dramatic decrease was in south asia. ,a considerable decline of number of children  was in south asia. 
"a decrease in africa consists in 7 millions, what is less then in south asia, where the amount of children without education cut in 3 times and achieved only 10 millions. ","a decrease in africa consists in 7 millions, what is less than in south asia, where the amount of children without education cut in 3  and achieved only 10 millions. "
a flourishing world suggests a lot of real situations and behavior models which absolutely will help a kid in his or her future life. ,a flourishing world is rich for a lot of real situations and behavior models which definitely will help a kid in his or her future life. 
a good case of it is a typical situation on the factory when every worker want to have a salary because he or she every day go to the factory and do their work. ,a good illustration of it is a typical situation on the factory when every jober has to receive a salary because he or she every day go to the factory and do their work. 
"a good example is a ""metro golden mayer"" which loss more than 3,5 billions dollars from 2008 year. ","a good example is a ""metro golden mayer"" that loss more than 3,5 billions dollars from 2008 year. "
a good example is old people who are visiting a number of doctors nowadays because they had not had time for caring for themselves because they were busy working. ,a good example is old people who are visiting a number of doctors nowadays because they had not had time to caring for themselves because they were busy working. 
"a great number of people from all over the world dream of having a good, high education in order to get a well paid job. ","a great number of people from all over the world dream of having a good, higher education in order to get a well paid job. "
a great number of pictures or videos can be shown at a classroom. ,a great number of pictures or videos can be shown in class. 
"a huge number of air travel is unnecessary, but they destroy our ecology and support air pollution and global warming. ","a huge number of air travel is unnecessary, but they destroy our ecology and strengthen air pollution and global warming. "
"a large minority of men works for the agriculture sector, accounting for 29 percent. ","a large minority of men work in the agriculture sector, accounting for 29 percent. "
a little bit less important had seeing funny posts and the last one was learning about ways to help others. ,a little bit less important was seeing funny posts and the last one was learning about ways to help others. 
"a look at the diagram highlights the fact that n. africa has the biggest unemployment rate, while the number of people, who had not work is in three times less in s. asia. ","a look at the diagram highlights the fact that n. africa has the biggest unemployment rate, while the number of people, who had not work is three times less in s. asia. "
a lot of artists and entertainment organisations have financial costs because of free using of their contents in the internet. ,a lot of artists and entertainment organisations have financial losses because of free using of their products in the internet. 
a lot of bad-influenced factories are situated in towns with a great amount of people. ,a lot of harmful factories are situated in towns with a great amount of people. 
a lot of children suffer from problems with their eyes already in the first class. ,a lot of children suffer from problems with their eyes already in the first year. 
a lot of companies prefer locate their business in other countries with sicker economy. ,a lot of companies prefer locate their business in other countries with poor economy. 
a lot of countries have possibility to produce different kind of food. ,a lot of countries have the ability to produce different kind of food. 
"a lot of crimes are committed because parents do not pay much attention to children,do not give care and,finally,nobody talks about theirs problems. ","a lot of crimes are committed because parents do not pay much attention to children,do not care and,finally,nobody talks about theirs problems. "
a lot of health problems can be solved by simply giving up on going to work by car choosing a bicycle instead. ,a lot of health problems can be solved by simply refusing going to work by car choosing a bicycle instead. 
"a lot of ideas must be show, because a lot of creative artists do thing, which linked with social problem in world. ","a lot of ideas must be show, because a lot of creative artists do thing, which are linked with social problem in world. "
a lot of new techniques and subjects may appear with production development. ,a lot of new techniques and objects may appear with production development. 
"a lot of people are sure that modern technology, which are becoming more and more popular, may be cause for rising of numbers of problems in health. ","a lot of people are sure that modern technology, which are becoming more and more popular, may be cause for rising of health problems. "
a lot of people believe that famous and creative artists should not be given the opportunity to express their own opinions in their job. ,many people believe that famous and creative artists should not be given the opportunity to express their own opinions in their job. 
a lot of people claim that high salary is more important than have an extra time. ,a lot of people claim that high salary is more important than have an free time. 
a lot of people from music and cinema industry lose money due to somebody sends pirate copies to the internet. ,a lot of people from music and cinema industry lose money because some people sends pirate copies to the internet. 
"a lot of people has the internet to exchange their cultures, views and information. ","a lot of people has the internet to share their cultures, views and information. "
a lot of people think that amount of male and female students in universities should be equal in all subjects. ,a lot of people think that number of male and female students in universities should be equal in all subjects. 
a lot of people walking on the streets see the buildings and than they has solved enter to it or not. ,a lot of people walking on the streets see the buildings and then they has solved enter to it or not. 
a lot of people were not agree with it. ,a lot of people did not approve of it. 
"a lot of producers use money, that they become from one film or music disc for producing of something new. ","a lot of producers use money, that they earn from one film or music disc for producing of something new. "
a lot of scientific researchers and discoveries are conducted every year. ,a lot of scientific researches and discoveries are conducted every year. 
"a lot of scientists: psychologists, sociologists and even biologists discuss what affects on personality in higher extent: characteristics which we have from our birth day or outcomes of environment surrounding us.","a lot of scientists: psychologists, sociologists and even biologists discuss what affects on personality in higher extent: characteristics which we have from our birth day or influence of environment surrounding us."
"a lot of video games challenges nowadays require to kill, thieve, rob and so forth. ","a lot of video games challenges nowadays require to kill, steal, rob and so forth. "
a more detailed look shows the minimum and maximum in russian temperatures are different from 5 degrees up to 10 degrees throughout the year. ,a more detailed look shows that the minimum and maximum in russian temperatures are different from 5 degrees up to 10 degrees throughout the year. 
a new humanistic method of fighting the crime rates might be one of the greatest achievement of our time.,a new humanistic method of fighting against the crime rates might be one of the greatest achievement of our time.
a new trend of borrowing dvds appeared and made a valuable pie of the whole chart. ,a new trend of borrowing dvds appeared and made a valuable part of the whole chart. 
a person caught using prohibited drugs may understand it was awful and make a remorse. ,a person caught using prohibited drugs may understand it was awful and regret it. 
"a person is able to overcome anything if relatives support him; provide a comfortable life if his finances allow that; stay happy if his job is not stressful, but enjoyable. ","a person is able to overcome everything if relatives support him; provide a comfortable life if his finances allow that; stay happy if his job is not stressful, but enjoyable. "
a person may doubt and question the assumption whether the advantages outweigh the backwards. ,a person may doubt and question the assumption whether the advantages outweigh the disadvantages. 
a person who knows what to do is always a demand. ,a person who knows what to do is always on demand. 
a possible way to change this situation is introducing certain team-building activities for families to return trust among their members. ,a possible way to change this situation is introducing certain team-building activities for families to restore trust among their members. 
a reason that computer has is the main factor of health problems. ,a side effect that computer has is the main reason for health problems. 
"a rising popularity of smartphones, laptops, computers and other gadgets leads to damage to people's eyes. ","a rising popularity of smartphones, laptops, computers and other gadgets affects people's eyes. "
"a significant majority of male workers work in the services section, accounting for 56 percent. ","a significant majority of male employees work in the services section, accounting for 56 percent. "
a similar participant presents in obtaining a bachelor's degree. ,a similar situation presents in obtaining a bachelor's degree. 
"a variety of different researches had given some results, and now specialists explain the reasons of bad behaviour in next ways (which, i agree with): for example, they say, hooligans are victims of their personal problems - being heartbroken, experiencing the parents' divorce. ","a variety of different researches had given some results, and now specialists explain the reasons of bad behaviour in the following way (which, i agree with): for example, they say, hooligans are victims of their personal problems - being heartbroken, experiencing the parents' divorce. "
"a vast majority of people argue that buildings should have attractive appearance, while others claim that it have to be useful and serve its options. ","a vast majority of people argue that buildings should have attractive appearance, while others claim that it have to be useful and serve its purposes. "
a vast majority of people is convinced that the percentage of crimes among young people went up dramatically and in modern day the rate reached its peak. ,a vast majority of people is convinced that the level of crimes among young people went up dramatically and in modern day the rate reached its peak. 
a way of protecting from electromagnetic radiation is likely to be found and better socializing programs will be performed. ,a way of protecting from electromagnetic radiation is likely to be found and better socializing programs will be introduced. 
"a wide range of sports centers cannot directly impact on peoples' mind, so it is natural, that there should be used some other measures, for instance, it can be the sports propaganda of the government. ","a wide range by sports centers cannot directly impact on peoples' mind, so it is natural, that there should be used some other measures, for instance, it can be the sports propaganda of the government. "
"also, such help may increase the status of the country in international scene, as it will show the rich of a country, and it can compete with other ones. ","also, such help may increase the status of the country on the international stage, as it will demonstrate the wealth of a country, and it can compete with other ones. "
about 70 percent of males kept it. ,about 70 percent of males had it. 
about 90 percent of males had the skilled vocational diploma and only 10 percent of females had it also. ,about 90 percent of males had the skilled vocational diploma and only 10 percent of females had it as well. 
about another example i read on the last week. ,here's another example i read last week. 
"according projections for 2050 more than half people in both yemen and italy will be 15-59 years old, but there will be different structures of societies. ","according to projections for 2050 more than half people in both yemen and italy will be 15-59 years old, but there will be different structures of societies. "
"according the chart, in 2000 the high percentage of population have 15-59 years people. ","according to the chart, in 2000 the high percentage of population was made up by 15-59 years people. "
"according the chart, we can see that the all males had skilled vocational diploma in australia in 1999. ","according to the chart, we can see that the most men had skilled vocational diploma in australia in 1999. "
"according the fact, that air travels pollute environment and increase the risk of global warming, some people believe that governments should limit the amount of business and leisure air travel. ","according the fact, that air travels pollute environment and increase the risk of global warming, some people believe that governments should limit the number of business and leisure air travel. "
according the graph population of learned group of people age 65 constantly grew up in the usa and sweden since 1940 to the beginning of 1980's. ,according to the graph population of learned group of people age 65 constantly grew up in the usa and sweden since 1940 to the beginning of 1980's. 
"according these researches, all types of transport contribute to the ecological disaster; the main culprit is a plane. ","according to these researches, all types of transport contribute to the ecological disaster; the main culprit is a plane. "
"according this bar chart, the amount of children from africa and the rest of world without abilities to study in primary school is dropping slowly. ","according this bar chart, the amount of children from africa and the rest of world without possibilities to study in primary school is dropping slowly. "
"according to russo, parents have to know about there children's friends friends and to regulate there relationships. ","according to russo, parents have to know about their children's friends friends and to regulate there relationships. "
"according to all these aspects it should be noticed that despite the uneasy conditions, in which women are living today, sometimes the refuse to allow to work and study some activities for women is reasonable. ","having said that, it should be noticed that despite the tough conditions, in which women are living today, sometimes the refuse to allow to work and study some activities for women is reasonable. "
"according to distinct polls, people who work less fell calm and almost do not struggle with stress due to its absent in their lives. ","according to distinct polls, people who work less feel calm and almost do not struggle with stress due to this absent in their lives. "
"according to first diagram, half of yemen's population in 2000 was children 0-14 years old. ","according to first diagram, half of yemen's population in 2000 consisted of children 0-14 years old. "
"according to latest research, characteristic, that we get from birthday, is more important. ","according to latest research, characteristic, that we get from birth, is more important. "
according to many computers and other technologies have strong influence on our lifes. ,according to many computers and other technologies have strong influence on our lives. 
"according to many modern researches, for example maden glimpsy's one, people without rest easily become depressed, they lost their motivation and, consequently, become less productive. ","according to many modern researches, for example maden glimpsy's , people without rest easily become depressed, they lost their motivation and, consequently, become less productive. "
"according to me, people that upload and share information like films and music should be penalized, and the punishment should be in money, as that foe's are causing economical problems for authors of music or films that illegally shared on the internet. ","according to me, people that upload and share information like films and music should be penalized, and the punishment should be pecuniary, as that foe's are causing economical problems for authors of music or films that illegally shared on the internet. "
"according to me, the number of male and female student on every subject should be the same, and i would like to explain my opinion. ","as for me, the number of male and female student on every subject should be the same, and i would like to explain my opinion. "
"according to modern policy of the majority of governments, countries of the first two groups endeavour to help countries of the last. ","according to modern policy of the majority of governments, countries of the first two groups endeavour to help countries of the latter one. "
"according to my beliefs, universities should exclude such parts of the patriarchy culture as unequal number of males and females and provide every student with the same chances, opportunities and choices.","according to my beliefs, universities should exclude such parts of the patriarchal culture as unequal number of males and females and provide every student with the same chances, opportunities and choices."
according to my opinion different fabrics make much more harm for our nature. ,according to my opinion different fabrics cause much more harm for our nature. 
"according to some experts, there are a lot of bands online who is looking for new members. ","according to some experts, there are a lot of gangs online who is looking for new members. "
"according to some psychological and sociological theories, like maslow pyramid in instance, a person should, firstly, fulfill his or her vital, primal needs in heat, safety and comfort and only after it come about higher ones. ","according to some psychological and sociological theories, like maslow pyramid in instance, a person should, firstly, fulfill his or her vital, primal needs in heat, safety and comfort and only after it think about higher ones. "
"according to some researches, young people prefer to spend 1 or 2 hours to go work or whatever and live in periphery, but in new district with kind of pretty houses instead of dirty, dark, old ones even if these ones are closer to the city centre. ","according to some researches, young people prefer to spend 1 or 2 hours commuting to work or whatever and live in periphery, but in new district with kind of pretty houses instead of dirty, dark, old ones even if these ones are closer to the city centre. "
"according to statistics, approximately 70 percent of people do not remember their leisure time, while only 30 per cent of whose who are able to have an advantage from their free time. ","according to statistics, approximately 70 percent of people do not remember their leisure time, while only 30 per cent of those who are able to have an advantage from their free time. "
"according to the italy charts, there are 14,3 percent of children, 61,6 percent of adults and just above 24 percent of pensioners. ","according to the italy charts, there are 14,3 percent of children, 61,6 percent of adults and just above 24 percent of elderly. "
according to the bar chart the unemployment rate in north africa is the highest in comparison to other world rates. ,according to the bar chart the unemployment rate in north africa is the highest in comparison to other regions rates. 
"according to the bar chart, although more girls than boys were reported to be overweight in the beginning of the time span given, this situation reverses in the following years. ","according to the bar chart, although more girls than boys were reported to be overweight in the beginning of the time span given, this situation changed in the following years. "
"according to the chart about brazil, it can be seen that the maximum temperature goes to january and december and amounts 30в°c and 20-25в°c respectively. ","according to the chart about brazil, it can be seen that the maximum temperature occurs in january and december and is equal to 30в°c and 20-25в°c respectively. "
"according to the chart below, the highest changing was in south asia, when 16.8 millions girl got access to primary school (21.6 millions in 2000 and 4.8 millions in 2012), while only 6 millions boys went to the school in this period and in this region. ","according to the chart below, the highest changing was in south asia, where 16.8 millions girl got access to primary school (21.6 millions in 2000 and 4.8 millions in 2012), while only 6 millions boys went to the school in this period and in this region. "
"according to the chart, the largest number of children without access to primary education was in africa in 2000 with approximately the same number of boys and girls. ","according to the chart, the largest number of children without access to primary education was in africa in 2000 with approximately the equal number of boys and girls. "
"according to the chart, the most large number of children without access to first-step school education in africa. ","according to the chart, the most large number of children without access to primary school education in africa. "
"according to the chart, the number of girls and boys without opportunity to go to primary school equally in every region. ","according to the chart, the number of girls and boys without opportunity to go to primary school was equal in every region. "
"according to the chart, the percentage of boys, who had overweight, significantly increased between 1995 and 2005, started from 10 percent up to 25 percent and as a result the highest share in the chart(25 percent ). ","according to the chart, the percentage of boys, who were overweight, significantly increased between 1995 and 2005, started from 10 percent up to 25 percent and as a result the highest share in the chart(25 percent ). "
"according to the chart, the percentage of people of yemen, who are 15-59 years, will increase from 46,3 percent in 2000 to 57,3 percent in 2050 whereas the overall percentage of population, who are 0-14 years, will decreased dramatically from 50,1 percent in 2000 to 37 percent in 2050. ","according to the chart, the percentage of people of yemen, who are 15-59 years old, will increase from 46,3 percent in 2000 to 57,3 percent in 2050 whereas the overall percentage of people, who are 0-14 years, will decreased dramatically from 50,1 percent in 2000 to 37 percent in 2050. "
"according to the chart, while unemployment is falling in the middle east, it grows up in eu, where this rate is still bigger than worldwide. ","according to the chart, while unemployment is falling in the middle east, it grows up in eu, where this rate is still higher than worldwide. "
"according to the charts for yemen, the population of 0-14 years old consists the half of all the yemen population, but this percentage will reduce to 37 percent to 2050. ","according to the charts for yemen, the part of 0-14 years old consists the half of all the yemen population, but this percentage will reduce to 37 percent to 2050. "
"according to the charts in both countries the 60 plus years population is going to grow, in italy from 24,1 percent till 42,3 percent and in yemen this index is going to increase till 5,7 percent . ","according to the charts in both countries the 60 plus  population is going to grow, in italy from 24,1 percent till 42,3 percent and in yemen this index is going to increase till 5,7 percent . "
according to the charts the young population of italy (aged from 0 to 14) was 14.3 percent in 2000 year. ,according to the charts the young population of italy (aged from 0 to 14)  14.3 percent in 2000 year. 
"according to the charts, approximately the same percentage of manufactured goods are transported by rail and by road. ","according to the charts, approximately the same proportions of manufactured goods are transported by rail and by road. "
"according to the charts, it may also be said, that of audience of 26-40 compounded the vast majority of those who have chosen sports and health courses - 62 percent . ","according to the charts, it may also be said, that of audience of 26-40 represented the vast majority of those who have chosen sports and health courses - 62 percent . "
"according to the data based on gender we can notice that in africa in 2000 and 2012, in south asia in 2000 and in other countries in 2000 the amount of girls without access to primary education is bigger than amount of boys. ","according to the data based on gender we can notice that in africa in 2000 and 2012, in south asia in 2000 and in other countries in 2000 the number of girls without access to primary education is bigger than amount of boys. "
"according to the data, the major group in science course are children, who are counted for more then 300 people. ","according to the data, the major group in science course are children, who are counted for more than 300 people. "
according to the diagrams the projections for 2050 indicate decrease in the part of children in yemen to the good of quantity of the people of the middle age. ,according to the diagrams the projections for 2050 indicate decrease in the part of children in yemen to the extent of the people of the middle age. 
"according to the figures, the per cent of young people in italy has the lowest point. ","according to the figures, the percentage of young people in italy was the lowest point. "
"according to the first data, the temperature in russian town varies from -40 to plus just above plus 20в°c in different months. ","according to the first data, the temperature in russian city varies from -40 to plus just above plus 20в°c in different months. "
"according to the first diagram, we can mention that there is a considerable difference in counting users with desktop and users with mobile phones or tablets. ","according to the first diagram, we can notice that there is a considerable difference in the number of users with desktop and users with mobile phones or tablets. "
according to the first graf about a tenth of visitors went to libraries to study and find information both. ,according to the first pie chart about a tenth of visitors went to libraries to study and find information both. 
"according to the first picture, there is a significant increase of the average maximum and minimum temperatures in yakutsk during the january to july, reaching a peak of nearly 25в°c. ","according to the first picture, there is a significant increase of the average maximum and minimum temperatures in yakutsk from the january to july, reaching a peak of nearly 25в°c. "
"according to the forecast printed book sells will decrease for 5 billion by 2018, whereas ebooks market will expand for the same amount of money. ","according to the forecast printed book sellings will decrease for 5 billion by 2018, whereas ebooks market will expand for the same amount of money. "
"according to the given theory, 2 percent or 3 percent of female entering students have to be cancelled in entering the subject. ","according to the given theory, 2 percent or 3 percent of female entering students should not be accepted. "
"according to the graph japan, sweden and the usa will have decreasing of population aged 65 and over in future. ","according to the graph japan, sweden and the usa will be decreasing of population aged 65 and over in future. "
"according to the graph can be said that in the beginning of the tested period the least amount of children without primary education was in the rest world (10,5 million of boys and 12,8 mil. of girls). ","according to the graph can be said that in the beginning of the period under review the least number of children without primary education was in the rest of the world (10,5 million of boys and 12,8 mil. of girls). "
according to the graph it will be a great rise in the proportion of people aged 65 and over in japan from 10 percent in 2020 to 27 percent in 2040. ,according to the graph there will be a great rise in the proportion of people aged 65 and over in japan from 10 percent in 2020 to 27 percent in 2040. 
"according to the graph temperatures in yakutsk, russia winter to grow up. ","according to the graph temperatures in yakutsk, russia winter rise. "
"according to the graph the highest results lead to japan (it is between approximately 42-30 percent , it drops rapidly to 10 percent in decade.) and the lowest is germany and new zealand (23-11 percent ). ","according to the graph the highest results were to japan (it is between approximately 42-30 percent , it drops rapidly to 10 percent in decade.) and the lowest is germany and new zealand (23-11 percent ). "
"according to the graph the unemployment rate decreased in the middle east from 11 to 9,6 percent and in latin america from 6,8 to 5,8 percent correspondingly. ","according to the graph the unemployment rate decreased in the middle east from 11 to 9,6 percent and in latin america from 6,8 to 5,8 percent respectively. "
"according to the graph the wildest difference in income is in japan, it was about 40 percent at the beginning in 1980, than it increase for 1 percent in 1985 and finally the percentage gradually also falls down. ","according to the graph the wildest difference in income is in japan, it was about 40 percent at the beginning in 1980, then it increase for 1 percent in 1985 and finally the percentage gradually also falls down. "
"according to the graph, indeed, the rates in north africa and south asia have not changed significantly and levels of people without work there in 2014 and 2015 are quite equal so it does not affect figures. ","according to the graph, indeed, the rates in north africa and south asia have not changed significantly and proportions of people without work there in 2014 and 2015 are almost equal so it does not affect figures. "
"according to the graph, it can be clearly seen that it also exist two groups of lines. ","according to the graph, there are can be clearly seen that it also exist two groups of lines. "
"according to the graph, it is clearly seen that the amount of metals transporting by rail is much more bigger then metals transporting by road, it is respectively 35 percent and 11 percent . ","according to the graph, it is obvious that the amount of metals transporting by rail is much  bigger than metals transporting by road, it is respectively 35 percent and 11 percent . "
"according to the graph, men and women between 16 and 24 gives the most time for sport and it is roughly 280 minutes for men and just under 115 minutes for women. ","according to the graph, men and women between 16 and 24 years old devoted the most time for sport and it is roughly 280 minutes for men and just under 115 minutes for women. "
"according to the graph, the amount of money invested in renewable power sources by the undeveloped countries experienced a gradual grow with an exception at the year of 201, when there was a slight decrease compared to the previous year. ","according to the graph, the amount of money invested in renewable power sources by the developing countries experienced a gradual grow with an exception at the year of 201, when there was a slight decrease compared to the previous year. "
"according to the graph, the amount of people from the presented age group in japan steadily fell in the period from 1940 to 1985. ","according to the graph, the proportion of people from the presented age group in japan steadily fell in the period from 1940 to 1985. "
"according to the graph, the highest member of childrens who cannot get primary school education in 2000 and in 2012 is in africa. ","according to the graph, the highest number of childrens who cannot get primary school education in 2000 and in 2012 is in africa. "
"according to the graph, the vast majority of young adulting, with the age from 18 to 29, tend to choose facebook or instagram on a daily basis, with the 87 percent and 53 percent , respectively, contrasting to the usage of linkedin, which comprised only about one fifth of the whole usage of social networking sites. ","according to the graph, the vast majority of young adulting, aged from 18 to 29, tend to choose facebook or instagram on a daily basis, with the 87 percent and 53 percent , respectively, contrasting to the usage of linkedin, which comprised only about one fifth of the whole usage of social networking sites. "
"according to the graph, women prefer undergraduate education and focus on taking undergraduate diploma. ","according to the graph, women prefer undergraduate education and focus on getting undergraduate diploma. "
"according to the graphs, another differences that in the first graph temperature from january rise until july and deeply falls down, which in rio de janeiro (brazil) temperature slightly falls from january to july. ","according to the graphs, another differences that in the first graph temperature from january rise until july and deeply falls down, where in rio de janeiro (brazil) temperature slightly falls from january to july. "
