source,target
"your group is staying at the palace hotel, which is located directly in front of the bus station.","your group is staying at the palace hotel, which is located directly opposite the bus station."
"you have to take the bus number 1 and get off at ""black house"", which is the third stop.","you have to take the number 1 bus and get off at ""black house"", which is the third stop."
"the clothes, required for the party are suits for men and cocktail dresses for women.",the clothes required for the party are suits for men and cocktail dresses for women.
"before your departure, you will have time to visit the olympic museum or to make a sightseeing tour in our city.","before your departure, you will have time to visit the olympic museum or to do a sightseeing tour of our city."
i hope you will enjoy your journey in our city and look forward to meeting you at this conference.,i hope you will enjoy your stay in our city and look forward to meeting you at this conference.
"yours faithfully,","yours sincerely,"
"there, i saw the exibitions and admired the building itself.","there, i saw the exhibitions and admired the building itself."
"the museum is located in ouchy, in front of the ""delamuraz hotel"".","the museum is located in ouchy, opposite the ""delamuraz hotel""."
"it is close to the main road, and at 300 meters of the station.","it is close to the main road, and 300 metres from the station."
"before going inside, you have to pas through the huge garden.","before going inside, you have to pass through the huge garden."
"i recommend you to take your swim suit, because in summer, it is allowed to swim in pools.","i recommend you to take your swimsuit, because in summer, it is allowed to swim in the pools."
there were all painting during the war by nurses.,they were all painted during the war by nurses.
"if you go down a few steps, you will discover the ceilar.","if you go down a few steps, you will discover the cellar."
everything in this room is about wine.,everything in this room is connected with wine.
i have just read your letter and i am happy to help with giving you some further information.,i have just read your letter and i am happy to help by giving you some further information.
"according to your first question, for the time of conference the students will be staying at the palace hotel, where the reservation has been already made.","in reply to your first question, for the time of the conference the students will be staying at the palace hotel, where the reservation has already been made."
"it is situated near to our college, about five minutes walk from the nearest tube station, which is south wimbledon.","it is situated near to our college, about five minutes' walk from the nearest tube station, which is south wimbledon."
"as you were informed, there will be a party for all attendants of the conference, which will take place afterwards at the hotel restaurant.","as you were informed, there will be a party for all participants of the conference, which will take place afterwards in the hotel restaurant."
minding the fact that it will be entirely sociable meeting i believe that casual clothes are the most suitable option for this event.,"bearing in mind the fact that it will be a purely social occasion, i believe that casual clothes are the most suitable option for this event."
"finally, answering your last question about student's day-out, i suggest visiting a local lawn tennis museums and wimbledon tennis courts as it is one of the best international tourists attractions.","finally, to answer your last question about the students' day out, i suggest visiting the local lawn tennis museums and the wimbledon tennis courts as they are one of the best international tourist attractions."
"if you have any further questione, please do not hesitate to contact me.","if you have any further questions, please do not hesitate to contact me."
subject: recomnendations of a place to visit,subject: recommendations for a place to visit
the aim of this report is to give description and recommendation of the most interesting building in the town.,the aim of this report is to give a description and make a recommendation concerning the most interesting building in the town.
the place i would like to recommend is the seventienth-century royal palace.,the place i would like to recommend is the seventeenth-century royal palace.
it is situated in a heart of warsaw and surrounded by the buildings of an old town.,it is situated in the heart of warsaw and surrounded by the buildings of the old town.
"there is a square old with the magnificent statue of the king zygmunt, in the centre of it.",there is an old market square with the magnificent statue of king zygmunt in the centre of it.
"inside the palace, there is a museum of an antique collection of .","inside the palace, there is a museum with a collection of antique porcelain."
"the old town is the best place for afternoon stroll with a great deal of restaurants, caffes and street performers.","the old town is the best place for an afternoon stroll, with a great deal of restaurants, cafes and street performers."
"there is an easy reach to cashpoints, .","cashpoints, toilets, emergency services etc are within easy reach."
it is easy to get there by any sort of public transport,it is easy to get there by any sort of public transport.
"there are numbers of hotels or youth hostels to stay overninight, if necessary","there are a number of hotels or youth hostels to stay overnight, if necessary."
most of the admissions are absolutely free.,admission to most places is absolutely free.
"a part of the palace might be closed, due to the constant renovations.","a part of the palace might be closed, due to the ongoing renovations."
all the facilities are usually overcrowded during a summer holiday.,all the facilities are usually overcrowded during the summer holiday.
"as you know, a hotel whose name is palace hotel has been booked for your group.","as you know, a hotel called the palace hotel has been booked for your group."
"the party will be formal, therefore you have to wear formal clothes like a suit or a dress.","the party will be formal, therefore you will have to wear formal clothes like a suit or a dress."
"as you know, it is not suitable to wear a jean or something .","as you know, it is not suitable to wear jeans or something similar."
on your last day you have an afternoon free.,on your last day you have the afternoon free.
"i hope you will find all the details, which you would like to have in the letter.",i hope you will find all the details which you would like to have in the letter.
"if you need any information, please let me know.","if you need any more information, please let me know."
"your sincerely,","yours sincerely,"
power of computurs.,the power of computurs.
i think it effects more than you think.,i think it affects you more than you think.
i felt lack of them.,i felt the lack of them.
i first bought a computer as i was in university.,i first bought a computer when i was in university.
it was so necessary for me because i wanted to be a computer programmer.,it was very necessary for me because i wanted to be a computer programmer.
that time i met the magic world of computers.,at that time i entered the magic world of computers.
internet was something amazing for me.,the internet was something amazing for me.
can you think you have every information you need whenever you want ?,can you imagine you have every piece of information you need whenever you want it?
can you think you contact with anyone who is from any country whenever you want ?,can you imagine you can contact anyone who is from any country whenever you want to?
i meet a lot of people on internet and it really interest me.,i meet a lot of people on the internet and it really interests me.
i learn a lot about their culture by speaking them on internet.,i learn a lot about their culture by speaking to them on the internet.
"in addition this, today companies can do nothing without a computer.","in addition to this, today companies can do nothing without a computer."
everything in this world works with computers from now on.,everything in this world will work with computers from now on.
"computers changed my life style, my opinion about the world.","computers have changed my lifestyle, my opinions about the world."
and they effect everyone's life directly or indirectly.,and they affect everyone's life directly or indirectly.
"we need light every day, not just night time.","we need light every day, not just at nighttime."
we need lamp light in offices or schools or some places during the day time.,we need lamplight in offices and schools and other places during the daytime.
how is the wonderful life after invention the light.,how wonderful life is since the invention of electric light.
here we just talk about the light we invented apart from nature light.,here we are just talking about the light we invented apart from natural light.
"there was no any light outside our house, no light on the road or field either.","i remember, we used to have oil lamps which used a cotton string dipping in the oil in the small bottle and made it burned the tip of the cotton string to give us light during the nighttimenight."
i was always very scared whenever or wherever .,"it gave very little light , and there were many things we couldn't do in the light from the oil lamps because the light range was very small."
because most places.,"there was not any light outside our house, and no light on the road or field either."
"covered by dark, dark and dark.","i was always very scared whenever or wherever i was, because most places covered by dark, dark and dark."
this scaring dark is still affecting my life now.,this scary dark is still affecting my life now.
i never stayed out after dark today except accompanying by my family.,i never stay out after dark today except accompanying by my family.
"dear mrs smith, thank you for your letter of asking for my help to the conference.","dear mrs smith, thank you for your letter asking for my help with the conference."
i would like to help you with my best.,i would like to do my best to help you.
"firstly, palace hotel has been booked into for the group accomodation and i spoke with the hotel manager for traveling to the conference.","firstly, palace hotel has been booked for the group's accommodation and i spoke with the hotel manager about travelling to the conference."
"the hotel has their own buses, they will pick us from hotel to the conference saloon.","the hotel has its own buses, they will take us from the hotel to the conference saloon."
"secondly, i would like to tell more about end-of-conference party.","secondly, i would like to tell you more about the end-of-conference party."
i booked palace hotel's restaurant for our party and it is big enough for your students.,i booked the palace hotel's restaurant for our party and it is big enough for your students.
it is going to be very lovely and enjoyable because i have lots of surprises for students.,it is going to be very lovely and enjoyable because i have lots of surprises for the students.
"finally, you would like to know some activities for three hours free time.","finally, you would like to know about some activities for three hours of free time."
"in this place there is video games, some little competitions and small zoo available.","in this place there are video games, some little competitions and a small zoo available."
students can enjoy their time in this place and it is on the way of the airport.,students can enjoy their time in this place and it is on the way to the airport.
"your sincerely,","yours sincerely,"
to: american students group leader,to: american students' group leader
it built in 1953.,it was built in 1953.
it is placed in the middle of the forest.,it is located in the middle of the forest.
there is different kind of bird and different kind of trees present.,there are different kinds of birds and different kinds of trees present.
it has very big museum inside the building and all building made from stone.,there is a very big museum inside the building and all the building is made from stone.
their aim is to protect the building from the enemies because there is also very big army museum available.,their aim is to protect the building from enemies because there is also a very big army museum available.
it has no charge for entrance and it has a good view for tourists to seeing ankara from the hill.,there is no charge for entrance and it has a good view for tourists to see ankara from the hill.
it opens at 8.00 am to 5.00 pm,it opens from 8.00 am to 5.00 pm.
i recommend that it is the best building in ankara to visit because it includes all turkish history and very good sight seeing.,i think that it is the best building in ankara to visit because it includes turkish history and very good sightseeing.
"if student is ill, we will return the money but you should tell us untill one week before we start.","if a student is ill, we will return the money but you should tell us one week before we start."
"and you are staying the palace hotel, which is located in town centre.","and you are staying at the palace hotel, which is located in the town centre."
"if you take public buses, it costs more expensive than school bus.","if you take public buses, it costs more than the school bus."
i look forward to hearing soon from you.,i look forward to hearing from you soon.
dear: mrs maria smith,dear mrs smith
i am replying your letter for the help you're being need.,i am replying to your letter concerning the help you need.
i am plece to tell the information do you need for the group.,i am pleased to provide the information you need for the group.
about the party in the end of conference we organise in the same hotel whict have a nice salon.,"about the party at the end of conference, we are organising it in the same hotel which has a nice salon."
will b good for yor group you don't need move to anoder place.,it will be good for your group because you don't need to move to another place.
we'll have drink and food and music for dance.,we'll have food and drink and music for dancing.
it is not a formal party so i thing is faind wear somethig no too formal.,it is not a formal party so i think it is fine to wear something not too formal.
i hope you found thes letter uselfuel and if you have nay question let my know.,"i hope you found this letter useful and if you have any questions, let me know."
i am looking forway to see you soon.,i am looking forward to seeing you soon.
yoors sincerely,yours sincerely
the computer was invented 30 year or mor ago and estart lake a procesing information with a big cad was perfored and maked a smol hold and aeche hold mean something lake a codig.,the computer was invented 30 years or more ago and startstarted like a processing information with a big card which was perforated and made a small hole and each hole meant something like a codingcodingcode.
the maching was used for read this cad was too big you use to need a room for our computer.,"the machine that was used for reading this card was very big, you used to need a room for the computer."
i remember when i had the fare lesson in the univerty and the ticher took as to the computer center an i sow these machins all my college an my were lofing was very dificul imagent how you can work in these kan of computer.,"i remember when i had the first lesson at the university and the teacher took us to the computer centre and i saw these machines, all my collegecolleagues and i were laughing was very difficult imagineimagineto imagine how you can work with this kindkind of computer."
so i hope the wold meke consense about and the inguener in compueter work have in estop these probleme because some good could be some very danger.,so i hope the worldworld makemakes consensusconsensusreaches agreement about this and engineerengineerengineers in computercomputer workcomputer engineers have stopto stopto prevent these problemproblems because something good could be something very dangerous.
i hope that all the information you need would be answered satisfactorialy.,i hope that all the information you need will be provided satisfactorily.
first of all you have been booked at the palace hotel.,first of all you have been booked in at the palace hotel.
secondly the best way to go from the hotel to the conference center is to use one of the shutel buses we provide at this efect.,secondly the best way to go from the hotel to the conference centre is to use one of the shuttle buses we provide at this effectevent.
concerning the end party.,"concerning the end-of-conference party, it is going to take place in the same hotel, the palace hotel."
"it is going to take place in the same hotel, the palace hotel, we suggest casual dressing for this special event.",we suggest casual dress for this special event.
"finaly, concerning your free afternoon, there are plenty of activities, but i suggest you, to visit the caldea center wich is a very special bath center.","finally, concerning your free afternoon, there are plenty of activities, but i suggest you visit the caldea centre, which is a very special bath centre."
if you need futher information do not hesitate to contact us.,if you need further information do not hesitate to contact us.
your sincerely,yours sincerely
in your previous letter you asked information about interesting building to visit in my country.,in your previous letter you asked for information about interesting buildings to visit in my country.
"there are plenty of churchs, cathedrals, and olds cotages.","there are plenty of churches, cathedrals, and old cottages."
the churchs and the cathedral are very intesting because of their differents romanics styles.,the churches and the cathedral are very interesting because of their different romanicromanic styles.
"if you are interested by more moderns buildings i can suggest you to visit ""caldea"" which is a very modern bath centre with a beautiful architecture.","if you are interested in more modern buildings i suggest you visit ""caldea"", which is a very modern bath centre with beautiful architecture."
"finaly if none of my suggestion fit with yours expectations, let me kwon more about what kind of buildings you are interested in and i'll do all my best to find something more suitable.","finally if none of my suggestions fit with your expectations, let me know more about what kind of buildings you are interested in and i'll do my best to find something more suitable."
dear mrs. maria smith.,"dear mrs. maria smith,"
by the way the end-of-conference party is a kind of fairwell party.,"by the way, the end-of-conference party is a kind of farewell party."
"the first part, the chairman and a few guests will have a speech and the second part, the participacients will evaluate themselves, and the the last part it will provide dinner and drinks.","the first part, the chairman and a few guests will give a speech and the second part, the participants will evaluate themselves, and the last part will consist of dinner and drinks."
it will be not too formal party.,it will not be too formal a party.
"moreover, i would like to recommend 'city tour' for three hours.","moreover, i would like to recommend a 'city tour' for three hours."
everybody an enjoy themselves.,everybody will enjoy themselves.
"i hope it will be a good tip for you and if you have any problem, you can contact with me any time.","i hope it will be a good tip for you and if you have any problem, you can contact me anytime."
and have a nice time in my town and send my regard to richard.,and have a nice time in my town and send my regards to richard.
"nowadays there are a lot of inventions around the world, and they make us more comfortable and convenient.","nowadays there are a lot of inventions around the world, and they make us more comfortable and our lives more convenient."
moreover we can not live without them.,moreover we cannot live without them.
"for example: electricity, computer, telephon, boat, and car (wheel), etc.","for example: electricity, the computer, telephone, boat, and car (wheel), etc."
electricity could be able to invent other things.,electricity made us able to invent other things.
it has abosolutly reduced women's our house working time.,it has absolutely reduced women's housework time.
evenmore we can enjoy our night with lights.,even more we can enjoy our nightwe can enjoy our night even more with lights.
"if we want do something, we can do it at night same as day.","if we want to do something, we can do it at night the same as in the day."
finally the quality of our life is changed by electricity.,"finally, the quality of our life is changed by electricity."
it will give us better future!,it will give us a better future!
have you ever imagined that you would drive electric car!,have you ever imagined that you would drive an electric car!
i have your letter this morning.,i received your letter this morning.
i am sorry to hear that richard is ill and is unable to attempt the conference; i am glad that you are able to be the leader of the group.,i am sorry to hear that richard is ill and is unable to attend the conference; i am glad that you are able to be the leader of the group.
"i hope that these informations below are very useful to you, during your attempt of conference.","i hope that the information below is very useful to you, during your attendance at the conference."
the party is to let all the students to know each other better.,the party is to let all the students to getget to know each other better.
"i will suggust them to wear formal clothing, as in tie, trousers and blaser.","i would suggest they wear formal clothing, such as tie, trousers and blazer."
for the afternoon free time on the last day.,"for the afternoon free time on the last day, there are a wide variety of choices in the things that they can do."
there are a wide variety of choices that they can do.,"they can play tennis, do athletics, swim... and many other sports eventsactivities in our school, if they want to."
"they can play tennis, do athletics, swimming... and many other sports event in our school, if they want to.",or they can also visit epsom town.
or they can also visit the epsom town.,"there are shops which sell clothes, food, and books ..."
"there are shops which sales cloths, foods, and books ...",they can decide what they want to do.
"they can decide what they want to do, it's entirely up to them.",it's entirely up to them.
i am looking forward to seeing you and hop you have a safe flight over to england.,i am looking forward to seeing you and hope you have a safe flight over to england.
"your sincerely,","yours sincerely,"
"this report is based on an interesting building, where you can take, for your students to visit.","this report is based on an interesting building, where you can take your students ."
the building is called chiang kei-shek momerial hall.,the building is called the chiang kei-shek memorial hall.
"apart from the main hall, there are also lots of other gallaries.","apart from the main hall, there are also lots of other galleries."
"in these gallaries there are historical paintings, antique furnitures which chiang used.",in these galleries there are historical paintings and antique furniture which chiang used.
"these treasure are very old, even older than the history of america.","these treasures are very old, even older than the history of america."
they are all been well look after.,they are all being well looked after.
"as well as all the treasures, statue and historical paintings...there are also restaurent's and modern gallaries.","as well as all the treasures, statues and historical paintings...there are also restaurant'srestaurants and modern galleries."
"when you are tired after looking around you might want to buy drinks or something to eat, or if you are fed up with historical thing, you migh as well just pop into the modern gallery to see things which are more modern.","when you are tired after looking around you might want to buy drinks or something to eat, or if you are fed up with historical things, you might as well just pop into the modern gallery to see things which are more modern."
"finally, if you went to visit this building i will recommend you to stay at a hotel not far from the momerial hall called hyatt hotel.","finally, if you want to visit this building i would recommend you stay at a hotel not far from the memorial hall called the hyatt hotel."
it only take about five minutes if you walk.,it only takes about five minutes if you walk.
i am glad to helping you for the organisation of the international student conference.,i am glad to help you with the organisation of the international student conference.
"at the end-of-conference there is a party, where we can eat something, dance and speak to each other about the conference.","at the end of conferenceend of the conference there is a party, where we can eat something, dance and speak to each other about the conference."
for the party i suggest you to wear classic clothes; maybe something black and not red or pink.,for the party i suggest you wear classic clothes; maybe something black and not red or pink.
i am going to wear black classic trousers and a white jorsey - it can be that this information give you some idea too..,i am going to wear classic black trousers and a white jersey - it might be that this information gives you some idea too.
on the last day we are going to have about three hours free times.,on the last day we are going to have about three hours' free time.
what do you think if we will go to visit the arts museum?,what do you think about going to the arts museum?
of if we will go to hear a classic concert near the conference building's?,or we could go to hear a classic concert near the conference buildings.
"i am writing a report, which will describe you the most important building of my town.","i am writing a report, in which i will describe for you the most important building in my town."
it is an old big house of a rich lord in the middle of the town.,it is the big old house of a rich lord in the middle of the town.
"into this house there is a big museum, where you could know the past of biasco.","in this house there is a big museum, where you can learn about the history of biasco."
"i hope that these informations will bring you to visit biasco and its ,,house"".","i hope that this information will encourage you to visit biasco and its ,,house""."
"yours faithfully,","yours sincerely,"
i am really appreciate your interesting about our conference.,i really appreciate your interest in our conference.
this is very nice hotel and i am sure you will be very pleased with staying there.,this is a very nice hotel and i am sure you will be very pleased about staying there.
"obviously, using a taxi is the best but unfortunately it is quite expensive for student.","obviously, using a taxi is the best but unfortunately it is quite expensive for a student."
"however, we have already prepared a mini-bus for you.","however, we have already arranged a mini-bus for you."
"thirdly, we will have the end-of-conference party at 6 p.m. you can have dinner with wine which is very famous in our area and also you can enjoy the semi-classical concert which we have prepared for 3 months.","thirdly, we will have the end-of-conference party at 6 p.m. you can have dinner with wine which is very famous in our area and also you can enjoy the semi-classical concert which we have been preparing for 3 months."
but i hope you will wear formal suit and dress.,but i hope you will wear a formal suit and dress.
"lastly, you do not have any problem spending your extra time in cambridge because we have a lot of attraction.","lastly, you will not have any problem spending your extra time in cambridge because we have a lot of attractions."
"cambridge bus tour, for example, will be very nice time for you because it is the best and the easiest way of knowing cambridge.","cambridge bus tour, for example, will be very nice for you because it is the best and the easiest way of getting to know cambridge."
"but if you do not like it, you can enjoy city centre by walking tour and then you can enjoy going punting which is the most pleasant attraction in cambridge.","but if you do not like it, you can enjoy the city centre with a walking tour and then you can enjoy going punting which is the most pleasant attraction in cambridge."
i hope you will be happy with our conference and party and etc.,i hope you will be happy with our conference and party etc.
we have prepared all of them for a long time.,we have been preparing all of them for a long time.
welcome to my town and i am really appreciate your visiting.,welcome to my town and i really appreciate your visiting.
"this building consists of a world exposition centre, a multiplex cinema, a huge shopping mall, a huge food court and an aquarium.","this building consists of a world exhibition centre, a multiplex cinema, a huge shopping mall, a huge food court and an aquarium."
now there is holding 'the world software for linux' exposition in exposition centre.,now is being held 'the world software for linux' exhibitionthe world software for linux exhibition is being held in the exhibition centre.
"if you are interested in computer, it will give you big pleasant.","if you are interested in computers, it will give you great pleasure."
therefore you can enjoy all latest films there.,therefore you can enjoy all the latest films there.
"if you want to buy something, specially clothes, shopping mall, which is called 'coex mall', will be the best place: very cheap and lots of designed clothes.","if you want to buy something, especially clothes, the shopping mall, which is called 'coex mall', will be the best place: very cheap and lots of designer clothes."
it is providing all kinds of food.,it provides all kinds of food.
"and if you need someone to guide you, please send me e-mail or give me a call.","and if you need someone to guide you, please send me an e-mail or give me a call."
"dear mrs maria smith,","dear mrs smith,"
you have been booked to stay in the palace hotel which is a very pleasant hotel not far away from here.,"you have been booked to stay in the palace hotel, which is a very pleasant hotel not far away from here."
"the best way to get here is ; once you have gone out of the hotel, turn right, then follow the signs to the hospital, because it is just by our college.","the best way to get here is : once you go out of the hotel, turn right, then follow the signs to the hospital, because it is just beside our college."
when you are in the college ask for me.,"when you are in the college, ask for me."
for your free hours i have quite a few ideas.,for your free time i have quite a few ideas.
we have got a museum which is just at two minutes from your hotel.,we have got a museum which is just two minutes from your hotel.
looking forward to seeing you soon.,i'm looking forward to seeing you soon.
"your sincerely,","yours sincerely,"
apart from being in-fashion it is also a very helpful machine.,"apart from being in fashion, it is also a very helpful machine."
what would you have done in that moment without a mobile phone?,what would you have done at that moment without a mobile phone?
"all over, the invention of this little device is a big plus for everyone.","all in all, the invention of this little device is a big plus for everyone."
"it is with great regret that i hear of mr brown's illness, and hope to see him soon in an excellent health.","it is with great regret that i hear of mr brown's illness, and i hope to see him soon in excellent health."
"furthermore, since it is located between the airport and our location, a bus shuttle has been organised to pick all our guests from the hotel to the conference room.","furthermore, since it is located between the airport and our location, a shuttle bus has been organised to take all our guests from the hotel to the conference room."
