source,target
"this building is situated in taipei, the capital.","this building is situated in taipei, the capital."
"nearly everyone knows where this building is, so if you have a chance, just ask the local people in taipei about this building.","nearly everyone knows where this building is, so if you have a chance, just ask the local people in taipei about this building."
all these treasures were brought over to taiwan by chiang during the defeat in china.,all these treasures were brought over to taiwan by chiang during the defeat in china.
i hope you will all have a great time in taiwan and i hope you will enjoy the building.,i hope you will all have a great time in taiwan and i hope you will enjoy the building.
"dear mrs smith,","dear mrs smith,"
i hope that i have been able to give you some help.,i hope that i have been able to give you some help.
and i am looking forward to seeing you at the conference.,and i am looking forward to seeing you at the conference.
"yours sincerely,","yours sincerely,"
"dear morgan,","dear morgan,"
"the most important building of biasco is the ,,casa cavalier pellanda"".","the most important building of biasco is the ,,casa cavalier pellanda""."
"dear mrs maria smith,","dear mrs maria smith,"
i have just received a letter from you.,i have just received a letter from you.
"firstly, the palace hotel is your accommodation which you have booked.","firstly, the palace hotel is your accommodation which you have booked."
"secondly, you will have no problems finding the conference.","secondly, you will have no problems finding the conference."
the bus will be in front of your hotel at 1 p.m. and it will take you to the conference.,the bus will be in front of your hotel at 1 p.m. and it will take you to the conference.
you will not be allowed to enter this party unless you wear casual clothes.,you will not be allowed to enter this party unless you wear casual clothes.
please oblige us with your attendance.,please oblige us with your attendance.
"if you want more information, please let me know.","if you want more information, please let me know."
your sincerely,your sincerely
"dear mr or miss,","dear mr or miss,"
i would like you to visit 'coex' building which is located in samsung-dong south of seoul.,i would like you to visit 'coex' building which is located in samsung-dong south of seoul.
i will tell you some information about this building.,i will tell you some information about this building.
"for a multiplex cinema, it is the biggest cinema in asia and it has 18 screens.","for a multiplex cinema, it is the biggest cinema in asia and it has 18 screens."
"also, you'd better not miss the food court.","also, you'd better not miss the food court."
"korean food, italian food... you can enjoy them all.","korean food, italian food... you can enjoy them all."
"lastly, i really want you to go to the aquarium.","lastly, i really want you to go to the aquarium."
actually i have been there three times but i still want to go there again.,actually i have been there three times but i still want to go there again.
i am sure you will like this very much.,i am sure you will like this very much.
i hope you will enjoy yourself in my town.,i hope you will enjoy yourself in my town.
i would be very happy if you could be satisfied with my recommendation.,i would be very happy if you could be satisfied with my recommendation.
i look forward to hearing from you.,i look forward to hearing from you.
"yours faithfully,","yours faithfully,"
i have received your letter and i am glad i can help you.,i have received your letter and i am glad i can help you.
there are lots of things to do here.,there are lots of things to do here.
you can also go to a nearby park and eat something in the café.,you can also go to a nearby park and eat something in the café.
if you go to the main street you will find a street full of shops and i am sure the students would like that.,if you go to the main street you will find a street full of shops and i am sure the students would like that.
i hope this information will be helpful.,i hope this information will be helpful.
"if you have any other questions, please, do contact me.","if you have any other questions, please, do contact me."
the mobile phone,the mobile phone
"the mobile phone has completely changed our lives, it is an instrument which i cannot imagine myself living without.","the mobile phone has completely changed our lives, it is an instrument which i cannot imagine myself living without."
do you remember that day when you got stuck in the middle of the road with your car which wouldn't work?,do you remember that day when you got stuck in the middle of the road with your car which wouldn't work?
"you were at home in less than ten minutes just because you had a mobile phone with you, amazing, isn't it?","you were at home in less than ten minutes just because you had a mobile phone with you, amazing, isn't it?"
"nowadays, everyone has a mobile phone.","nowadays, everyone has a mobile phone."
i am fifteen years old and everybody in my year has got a mobile phone.,i am fifteen years old and everybody in my year has got a mobile phone.
five years ago you wouldn't have even thought about it.,five years ago you wouldn't have even thought about it.
it has been a plus for me.,it has been a plus for me.
"for example, now my parents allow me to go to more places just because i have my mobile with me, and, sending text messages is an addiction which every teenager is obsessed with.","for example, now my parents allow me to go to more places just because i have my mobile with me, and, sending text messages is an addiction which every teenager is obsessed with."
"chêne-bourg, tuesday 12th june.","chêne-bourg, tuesday 12th june."
"dear mrs smith,","dear mrs smith,"
"nevertheless, i am both pleased and honoured to expect you and your group in the context of our international meeting.","nevertheless, i am both pleased and honoured to expect you and your group in the context of our international meeting."
we have made arrangements for you to stay at the palace hotel.,we have made arrangements for you to stay at the palace hotel.
"best regards,","best regards,"
my fair mobile phone.,my fair mobile phone.
"trades, politicians and taxi drivers are but a few examples of such needs.","trades, politicians and taxi drivers are but a few examples of such needs."
dear mrs smith,dear mrs smith
i am pleased to help you.,i am pleased to help you.
this has the best price that we could find.,this has the best price that we could find.
"yours sincerely,","yours sincerely,"
introduction,introduction
history,history
place,place
conclusion,conclusion
"dear mrs smith,","dear mrs smith,"
thank you for your letter.,thank you for your letter.
i will try my best to answer the questions.,i will try my best to answer the questions.
i look forward to seeing you!,i look forward to seeing you!
yours sincerely,yours sincerely
"however, tv also has some disadvantages.","however, tv also has some disadvantages."
"dear mrs. smith,","dear mrs. smith,"
"yours sincerely,","yours sincerely,"
12th june 2001,12th june 2001
"dear mrs smith,","dear mrs smith,"
"finally, on the last day we have an afternoon free.","finally, on the last day we have an afternoon free."
i look forward to hearing from you.,i look forward to hearing from you.
"yours sincerely,","yours sincerely,"
inventions have affected all our lives!,inventions have affected all our lives!
i think a car is very important to me because it's very convenient for everyday life.,i think a car is very important to me because it's very convenient for everyday life.
i think it has more advantages than disadvantages.,i think it has more advantages than disadvantages.
dear maria:,dear maria:
thank you for your letter.,thank you for your letter.
"from park square, just go straight.","from park square, just go straight."
"love from,","love from,"
i want to introduce an interesting building for them to visit.,i want to introduce an interesting building for them to visit.
"dear maria,","dear maria,"
the access to the conference place is very easy.,the access to the conference place is very easy.
i hope you will have fun!,i hope you will have fun!
yours sincerely,yours sincerely
"hello,","hello,"
so you can visit everywhere you want with or without a guide.,so you can visit everywhere you want with or without a guide.
"best regards,","best regards,"
dear mrs smith,dear mrs smith
"yours sincerely,","yours sincerely,"
dear mr wolf,dear mr wolf
i would like to introduce one building in my town.,i would like to introduce one building in my town.
i hope you will accept my recommendation and am looking forward to hearing from you soon.,i hope you will accept my recommendation and am looking forward to hearing from you soon.
"yours sincerely,","yours sincerely,"
dear mrs smith,dear mrs smith
i look forward to seeing you.,i look forward to seeing you.
computer magic.,computer magic.
"june 12, 2001","june 12, 2001"
"dear mrs smith,","dear mrs smith,"
"concerning the hotel, the group has been booked into the palace hotel.","concerning the hotel, the group has been booked into the palace hotel."
"yours faithfully,","yours faithfully,"
"the building called in french ""le centre pompidou"" is a very surprising monument.","the building called in french ""le centre pompidou"" is a very surprising monument."
"in general, there are paintings, videos and sculptures.","in general, there are paintings, videos and sculptures."
"dear mrs smith,","dear mrs smith,"
i look forward to hearing from you.,i look forward to hearing from you.
"yours sincerely,","yours sincerely,"
"if you ask me which is the greatest invention of all, i will say that it is the television.","if you ask me which is the greatest invention of all, i will say that it is the television."
my good friend said that.,my good friend said that.
i agree with her.,i agree with her.
"however, televisions can bring you the fun that other activities can't.","however, televisions can bring you the fun that other activities can't."
"however, everything has its advantages and disadvantages.","however, everything has its advantages and disadvantages."
"dear mrs smith,","dear mrs smith,"
"yours sincerely,","yours sincerely,"
report.,report.
introduction:,introduction:
location:,location:
history:,history:
facilities:,facilities:
conclusion:,conclusion:
"dear mrs. smith,","dear mrs. smith,"
the conference will be held at the palace hotel on old street.,the conference will be held at the palace hotel on old street.
"after the conference, there will be a relaxing party.","after the conference, there will be a relaxing party."
p.s.,p.s.
there are several interesting buildings in the city of london.,there are several interesting buildings in the city of london.
the building itself looks grand and elegant.,the building itself looks grand and elegant.
the old bit is rather unique and charming.,the old bit is rather unique and charming.
there is another surprising section in this building.,there is another surprising section in this building.
"dear mrs smith,","dear mrs smith,"
the hotel where your group has been booked is the palace hotel.,the hotel where your group has been booked is the palace hotel.
there will be music as well for dancing.,there will be music as well for dancing.
"yours sincerely,","yours sincerely,"
moreover you asked what to wear.,moreover you asked what to wear.
i hope you will have an interesting conference here.,i hope you will have an interesting conference here.
yours sincerely,yours sincerely
of course there is also a big disadvantage.,of course there is also a big disadvantage.
"being sincere, most of us would go to the telephone.","being sincere, most of us would go to the telephone."
"dear mrs maria smith,","dear mrs maria smith,"
"yours sincerely,","yours sincerely,"
who could have invented such a useful item?,who could have invented such a useful item?
"dear mrs smith, hello maria.","dear mrs smith, hello maria."
in this letter you will get all the information that you need.,in this letter you will get all the information that you need.
"after the party, we will go to an entertainment area to have fun and we will eat in mc'donalds.","after the party, we will go to an entertainment area to have fun and we will eat in mc'donalds."
"and the last three hours before you return, we can go to the ""imax"" cinema to watch a 3-d film!","and the last three hours before you return, we can go to the ""imax"" cinema to watch a 3-d film!"
i wait you.,i wait you.
we can have fun as well.,we can have fun as well.
and that's why i recommend this place to you.,and that's why i recommend this place to you.
the building itself is a large building.,the building itself is a large building.
it is very safe as there are policemen and cameras.,it is very safe as there are policemen and cameras.
"inside, there are fast-food restaurants and shops as well.","inside, there are fast-food restaurants and shops as well."
"in here, you can find everything that you want.","in here, you can find everything that you want."
hope you like it.,hope you like it.
"dear mrs. smith,","dear mrs. smith,"
"in reply to your letter, i would like to answer your questions and give you more information.","in reply to your letter, i would like to answer your questions and give you more information."
"secondly, the easiest way to travel from the hotel to the conference is by a local bus.","secondly, the easiest way to travel from the hotel to the conference is by a local bus."
"yours sincerely,","yours sincerely,"
could modern people live without a light bulb?,could modern people live without a light bulb?
"well, i don't think so.","well, i don't think so."
"with it, we read, study, walk, and so on.","with it, we read, study, walk, and so on."
"in the past people relied on the sunlight, moonlight and the light from fire.","in the past people relied on the sunlight, moonlight and the light from fire."
"these were, however, very unreliable when the weather was bad and when the fuel ran out.","these were, however, very unreliable when the weather was bad and when the fuel ran out."
"they had to read, study and walk in the dark.","they had to read, study and walk in the dark."
"i remember when i was about 5, i visited a museum with my family.","i remember when i was about 5, i visited a museum with my family."
"dear mrs smith,","dear mrs smith,"
there is a party on the last day of the conference.,there is a party on the last day of the conference.
special awards will be given to the students whose reports are the best.,special awards will be given to the students whose reports are the best.
you can wear whatever you like for this kind of party.,you can wear whatever you like for this kind of party.
"yours sincerely,","yours sincerely,"
can you see how many inventions you are surrounded with in your life?,can you see how many inventions you are surrounded with in your life?
computers make everything much faster so everything is now based on computer systems.,computers make everything much faster so everything is now based on computer systems.
"dear mrs smith,","dear mrs smith,"
therefore it is no good taking a bus.,therefore it is no good taking a bus.
i will help you to book the coach.,i will help you to book the coach.
there will be various kinds of food and drinks provided.,there will be various kinds of food and drinks provided.
"moreover, students can dance and enjoy different sorts of music, for instance, rock, jazz, pop, garage and so on.","moreover, students can dance and enjoy different sorts of music, for instance, rock, jazz, pop, garage and so on."
you could also enjoy the tea at the cafés nearby.,you could also enjoy the tea at the cafés nearby.
i am looking forward to seeing you.,i am looking forward to seeing you.
"yours sincerely,","yours sincerely,"
from: genevieve chiu,from: genevieve chiu
subject: interesting building to visit in hong kong,subject: interesting building to visit in hong kong
visiting po lin temple,visiting po lin temple
1.,1.
brief history of po lin temple:,brief history of po lin temple:
it is a traditional type of chinese temple.,it is a traditional type of chinese temple.
"because of the 2nd world war, it was re-built in 1960.","because of the 2nd world war, it was re-built in 1960."
2.,2.
location:,location:
3.,3.
opening and closing time:,opening and closing time:
4.,4.
you could take the mtr (hk underground) straight to lotus island or take the ferry to get there.,you could take the mtr (hk underground) straight to lotus island or take the ferry to get there.
it is quite convenient.,it is quite convenient.
5.,5.
attractive points:,attractive points:
you could go sightseeing around the temple and take photos.,you could go sightseeing around the temple and take photos.
6.,6.
conclusion:,conclusion:
"to sum up, i think po lin temple is a nice place to visit, especially for americans students.","to sum up, i think po lin temple is a nice place to visit, especially for americans students."
"dear mrs smith,","dear mrs smith,"
"if you want more information, please contact me and i am looking forward to seeing you soon.","if you want more information, please contact me and i am looking forward to seeing you soon."
"yours sincerely,","yours sincerely,"
"dear mr. bill,","dear mr. bill,"
the building itself looks splendid and beautiful.,the building itself looks splendid and beautiful.
"on the other hand, you might find something which is very boring such as walking along the old wooden floor which causes some noise.","on the other hand, you might find something which is very boring such as walking along the old wooden floor which causes some noise."
"yours sincerely,","yours sincerely,"
"dear mrs maria smith,","dear mrs maria smith,"
"as the leader of the conference-organisation, i'm glad if i can help you.","as the leader of the conference-organisation, i'm glad if i can help you."
so you have to know more details about our conference.,so you have to know more details about our conference.
there is also a subway-station near palace hotel.,there is also a subway-station near palace hotel.
you only have to take the subway-train.,you only have to take the subway-train.
when you come out of the subway you see our college.,when you come out of the subway you see our college.
the conference starts at 6 o'clock and ends at 8 o'clock.,the conference starts at 6 o'clock and ends at 8 o'clock.
there will also be an international buffet.,there will also be an international buffet.
so don't eat too much before you come.,so don't eat too much before you come.
and please don't worry about clothes.,and please don't worry about clothes.
there are not any rules.,there are not any rules.
in our city there is a big adventure swimming park.,in our city there is a big adventure swimming park.
i think you should visit water world on your last day.,i think you should visit water world on your last day.
if you need any further information please call me.,if you need any further information please call me.
my number is: 793354,my number is: 793354
"yours faithfully,","yours faithfully,"
"the telephone is a very important invention, which has affected our lives.","the telephone is a very important invention, which has affected our lives."
people use the telephone every day and it is one of the most important things in daily life.,people use the telephone every day and it is one of the most important things in daily life.
in my opinion people need a telephone.,in my opinion people need a telephone.
you can call the police if you are in danger or the ambulance if you are injured.,you can call the police if you are in danger or the ambulance if you are injured.
another aspect is that people have more time if they have a telephone.,another aspect is that people have more time if they have a telephone.
"dear mrs smith,","dear mrs smith,"
i am writing to reply to your letter and to give answers to your questions.,i am writing to reply to your letter and to give answers to your questions.
"the group has been booked into the palace hotel, a five star hotel, which offers many facilities.","the group has been booked into the palace hotel, a five star hotel, which offers many facilities."
it is famous for its friendly staff and comfortable rooms.,it is famous for its friendly staff and comfortable rooms.
the hotel is opposite the station.,the hotel is opposite the station.
"it would be better to wear casual clothes, because they are more comfortable and are liked by students.","it would be better to wear casual clothes, because they are more comfortable and are liked by students."
"on the last day, the students can enjoy a sightseeing tour around the city, which can be arranged if the students want to.","on the last day, the students can enjoy a sightseeing tour around the city, which can be arranged if the students want to."
do not hesitate to contact me if you require further information.,do not hesitate to contact me if you require further information.
i am looking forward to seeing you.,i am looking forward to seeing you.
to: group leader of american students,to: group leader of american students
from:,from:
subject: an interesting building to visit,subject: an interesting building to visit
here is information about the castle in nyremberg,here is information about the castle in nyremberg
recommendation,recommendation
it is the favourite place of all the tourists who visit nyremberg.,it is the favourite place of all the tourists who visit nyremberg.
"dear mrs maria smith,","dear mrs maria smith,"
thank you for your letter.,thank you for your letter.
it could be interesting for them.,it could be interesting for them.
i am looking forward to hearing from you.,i am looking forward to hearing from you.
"yours sincerely,","yours sincerely,"
imagine our life without a telephone.,imagine our life without a telephone.
but how?,but how?
dear mrs smith,dear mrs smith
let me give you some further information concerning the event.,let me give you some further information concerning the event.
firstly i would like to inform you about the hotel we have already booked for you.,firstly i would like to inform you about the hotel we have already booked for you.
the conference is not too far from your hotel.,the conference is not too far from your hotel.
don't miss the chance to visit our famous tourist attractions.,don't miss the chance to visit our famous tourist attractions.
welcome to athens!!,welcome to athens!!
!,!
the end-of-conference party will take place at the same place.,the end-of-conference party will take place at the same place.
"some musicians will play classical music, and there will be many different drinks and food.","some musicians will play classical music, and there will be many different drinks and food."
"for three hours, you could visit the museum of the red cross, which is very interesting.","for three hours, you could visit the museum of the red cross, which is very interesting."
"sincerely yours,","sincerely yours,"
"dear maria smith,","dear maria smith,"
thank you for your letter and i will try to help you.,thank you for your letter and i will try to help you.
yours sincerely.,yours sincerely.
from:,from:
to: the group leader,to: the group leader
subject: old roman school.,subject: old roman school.
location: courtelary is situated in switzerland and the school is on the top of the town's hill.,location: courtelary is situated in switzerland and the school is on the top of the town's hill.
dear mrs maria smith,dear mrs maria smith
thank you for your letter.,thank you for your letter.
"it's a shame that i won't see richard because of his illness, but i'm willing to help you as much as i can.","it's a shame that i won't see richard because of his illness, but i'm willing to help you as much as i can."
"by the way, if you have any other questions, please send me a letter again.","by the way, if you have any other questions, please send me a letter again."
"oh baby, i can't live without you!","oh baby, i can't live without you!"
how nasty we are!,how nasty we are!
"dear mrs smith,","dear mrs smith,"
i hope that he will recover soon and that he will make it to our conference.,i hope that he will recover soon and that he will make it to our conference.
the end-of-conference party will take place on a boat cruising on the lake.,the end-of-conference party will take place on a boat cruising on the lake.
"as nights may be cold at this time of the year, may i suggest that you take with you a pullover.","as nights may be cold at this time of the year, may i suggest that you take with you a pullover."
"depending on the interests of your students, i would suggest that you visit the internet site of the tourist office: www.neuchatel.ch.","depending on the interests of your students, i would suggest that you visit the internet site of the tourist office: www.neuchatel.ch."
yours sincerely,yours sincerely
is very often the first question that you will be asked when answering the phone.,is very often the first question that you will be asked when answering the phone.
why?,why?
because somebody has invented the most popular communication device ever.,because somebody has invented the most popular communication device ever.
the mobile phone.,the mobile phone.
"once heavy, expensive and not reliable, the new mobile phone fits in almost any pocket and is given away by the operator to attract new customers.","once heavy, expensive and not reliable, the new mobile phone fits in almost any pocket and is given away by the operator to attract new customers."
"for rescue teams, it is a great help.","for rescue teams, it is a great help."
"it is not rare to see two people walking side by side, both talking on the phone.","it is not rare to see two people walking side by side, both talking on the phone."
caution: use of this device may damage your brain.,caution: use of this device may damage your brain.
dear mrs maria smith,dear mrs maria smith
it is very nice of you to come and visit my town.,it is very nice of you to come and visit my town.
the best building you must see is the cathedral.,the best building you must see is the cathedral.
i hope you like it.,i hope you like it.
"dear mrs smith,","dear mrs smith,"
thank you very much for your letter.,thank you very much for your letter.
the hotel which your students' group has been booked into is the palace hotel.,the hotel which your students' group has been booked into is the palace hotel.
it is fairly easy to get there from the conference.,it is fairly easy to get there from the conference.
you should be there by 7 o'clock in the evening.,you should be there by 7 o'clock in the evening.
"however, if you wish to dress smarter, there is no problem at all.","however, if you wish to dress smarter, there is no problem at all."
"with reference to the last afternoon, if i were you i would visit the city museum.","with reference to the last afternoon, if i were you i would visit the city museum."
there are many interesting works of art by famous painters of this country.,there are many interesting works of art by famous painters of this country.
"if you have any time left you ought to go to the high street, where you could go shopping.","if you have any time left you ought to go to the high street, where you could go shopping."
"please, do not hesitate to contact me at the above address if you need any further information.","please, do not hesitate to contact me at the above address if you need any further information."
i look forward to meeting you at the conference.,i look forward to meeting you at the conference.
"yours sincerely,","yours sincerely,"
inventions have affected all our lives!,inventions have affected all our lives!
picture this: a big city such as london or new york with no cars on their streets.,picture this: a big city such as london or new york with no cars on their streets.
"to be honest, i can't.","to be honest, i can't."
cars are part of our daily lives.,cars are part of our daily lives.
in my case i use public transport during the week to go to work but i could hardly imagine my weekends without my beloved car.,in my case i use public transport during the week to go to work but i could hardly imagine my weekends without my beloved car.
"dear mrs smith,","dear mrs smith,"
i'm writing in reply to your letter in which you asked me for help.,i'm writing in reply to your letter in which you asked me for help.
i hope i will be able to give you the information you need for the group of students who are coming to the conference.,i hope i will be able to give you the information you need for the group of students who are coming to the conference.
"firstly, the palace hotel is waiting for you and your students.","firstly, the palace hotel is waiting for you and your students."
the best way to get from there to the college where the conference will take place is simply to walk.,the best way to get from there to the college where the conference will take place is simply to walk.
"to conclude, we decided to organize a guided tour by coach, as you have an afternoon free before your plane takes off.","to conclude, we decided to organize a guided tour by coach, as you have an afternoon free before your plane takes off."
"yours sincerely,","yours sincerely,"
"dear sir or madam,","dear sir or madam,"
the olympic museum dates from the 19th century and is the biggest in europe.,the olympic museum dates from the 19th century and is the biggest in europe.
it shows all the different sports men have been doing since the first olympic games in greece.,it shows all the different sports men have been doing since the first olympic games in greece.
i hope my recommendations will help you in the choice of a building to visit.,i hope my recommendations will help you in the choice of a building to visit.
"yours faithfully,","yours faithfully,"
"dear marie,","dear marie,"
we booked rooms for your group at the palace hotel.,we booked rooms for your group at the palace hotel.
at the first traffic lights turn right again and you should see a big blue building.,at the first traffic lights turn right again and you should see a big blue building.
i would like to mention that because our conference that is dress-code party.,i would like to mention that because our conference that is dress-code party.
that will give you and your guests an impression about our country and history.,that will give you and your guests an impression about our country and history.
in my opinion the most interesting is the castle.,in my opinion the most interesting is the castle.
just look up and you will see that huge building.,just look up and you will see that huge building.
after that you can explore our great museum at the old castle.,after that you can explore our great museum at the old castle.
i think it is a nice idea.,i think it is a nice idea.
"yours sincerely,","yours sincerely,"
dear mrs smith,dear mrs smith
"yours sincerely,","yours sincerely,"
i hope in the future there will be more and more people interested in this important issue.,i hope in the future there will be more and more people interested in this important issue.
i have received your letter which informs me you are now in charge of the group of students attending the international conference.,i have received your letter which informs me you are now in charge of the group of students attending the international conference.
it is my pleasure to help you with the information you need.,it is my pleasure to help you with the information you need.
take the 67 route and it will take you just in front of the royal hall.,take the 67 route and it will take you just in front of the royal hall.
