text_name,Error_type,Error_span,Correction,Error_sentence
2014_AAl_11_2.txt,Choice of lexical item,comparison,a conclusion,For my own experience I can make comparison that choosing proportional system in education is really very important part. 
2014_AAl_11_2.txt,Choice of lexical item,class,grade,Only when I was in 10th class the situation changes some girls feel uncomfortable and their behavior became worse that it was earlier. 
2014_AAl_11_2.txt,Choice of lexical item,position,the opinion,I agree with position about accepting equal numbers of male and female. 
2014_AAl_11_2.txt,Word choice,proportional,,Some people agree with this when others give many reasons and present disadvantages of proportional position. 
2014_AAl_12_1.txt,Choice of lexical item,amount,proportion,In 2000 it made 5 percent and amount of old people continues to increase sharply and it will be resulted in more than 25 percent of elderly people in 2040. 
2014_AAl_12_1.txt,Choice of lexical item,old,elderly,It can be seen from the graph that the greatest mount of old people were in the USA . 
2014_AAl_12_1.txt,"Change, addition, deletion of a part of collocation",made,made up,"Contrary to other responders, in Japan people of 65 years old and more made a number less than 5 percent from all the population for 60 years. "
2014_AAl_12_1.txt,Choice of lexical item,mount,number,It can be seen from the graph that the greatest mount of old people were in the USA . 
2014_AAl_12_1.txt,"Change, addition, deletion of a part of collocation",the,,It mades almost 10 percent of population in 1940 while in Japan people of the same age group were represented with 5 percent of all the citizens and in Sweden this number were about 7 percent. 
2014_AAl_12_1.txt,Choice of lexical item,come,become,"To sum it up, it should be mentioned that population of three analyzed countries will come older and older. "
2014_AAl_12_1.txt,Choice of lexical item,of age,aged,"The data below demonstrates the proportion of population among citizens of age 65 and over in Japan, Sweden and the United States during one hundred years (1940-2040). "
2014_AAl_12_2.txt,Choice of lexical item,destlict,deprive,"For instance, if we deprive someone in their right for higher education it can cause the termination of woman development as personality. "
2014_AAl_12_2.txt,Choice of lexical item,are,do,There must be no discrimination during being at work according to gender and other characteristics which are not correspond to professional qualities. 
2014_AAl_12_2.txt,Word choice,has,make,"To sum it up, I would like to say that the idea of acceptance the same amount of male students as a female in university seems to has no sense. "
2014_AAl_12_2.txt,Choice of lexical item,leads,makes,Sometimes book activity leads certain individuals to think that even educational programs of every subject should provide the same number of students of both sexes. 
2014_AAl_12_2.txt,Choice of lexical item,live,life,They try to get the same treatment in every field of live. 
2014_AAl_13_1.txt,Choice of lexical item,option,cause,Another option is the decline in the number of children per family. 
2014_AAl_13_1.txt,Choice of lexical item,social,demographic,"To draw a conclusion, we may say that not only social or economic tendencies, but also government policies might cause certain changes in social proportions, consequently, these policies and tendencies should be accurately governed."
2014_AAl_13_1.txt,Choice of lexical item,governed,monitored,"To draw a conclusion, we may say that not only social or economic tendencies, but also government policies might cause certain changes in social proportions, consequently, these policies and tendencies should be accurately governed."
2014_AAl_13_1.txt,Choice of lexical item,offsprings,children,"More and more young people decline to start a family later and have only 1 or 2 offsprings, and this tendency will certainly bring about the growth of the proportion of the elderly people, as those born in 1975 are 65 years old by 2040. "
2014_AAl_13_1.txt,Choice of lexical item,then,than,"However, the economic situation has not always been so brilliant, moreover, it was much worse there than in Europe and America, so the number was relatively low until the expected acute rise in 2030. "
2014_AAl_13_1.txt,Choice of lexical item,decline,tend,"More and more young people decline to start a family later and have only 1 or 2 offsprings, and this tendency will certainly bring about the growth of the proportion of the elderly people, as those born in 1975 are 65 years old by 2040. "
2014_AAl_13_2.txt,Choice of lexical item,intake,admission,"No, this will mean discrimination, and that is the inevitable consequence of 'gender-based' intake of students. "
2014_AAl_13_2.txt,Word choice,Extremely alike reform,a reform of this kind,Extremely alike reform has been carried out in Germany. 
2014_AAl_14_2.txt,"Change, addition, deletion of a part of collocation",it is a common knowledge that such profession as a driver,,"For example, it is a common knowledge that such profession as a driver has always been connected with man because it requires high physical and mental abilities. "
2014_AAl_15_1.txt,Choice of lexical item,similar,the same,"For example, they have similar periods of rising (1940 to 1965, 1965 to 1985, 2030 to 2040) and similar period of falling (1985 to 1990). "
2014_AAl_15_1.txt,Choice of lexical item,proportion,percentage,The average proportion of population aged 65 and over in three countries risen from 7% in 1940 to 25 in 2040. 
2014_AAl_15_1.txt,Choice of lexical item,was continning,remained as such,The graph also shows that the lowest proportion of population aged 65 and over in USA and Sweden was in 1940 while the lowest proportion of population aged 65 and over in Japan was continuing from 1960 to 1987. 
2014_AAl_15_2.txt,Choice of lexical item,male,gender,"And the decision of acceptance must be more on the basic of knowledge, not on the male of a student. "
2014_AAl_15_2.txt,Choice of lexical item,enforce,force,"However, they want more and more - in some countries women want to get as much places in government as men, or enforce universities to accept equal numbers of male and female students. "
2014_AAl_15_2.txt,Choice of lexical item,basic,basis,"And the decision of acceptance must be more on the basic of knowledge, not on the male of a student. "
2014_AAl_15_2.txt,Choice of lexical item,then,than,"For example, IT technology or engineering are more suitable for boys then for girls. "
2014_AAl_16_1.txt,Choice of lexical item,The first,Firstly,"The first, it is necessary to note that the peak of proportion is in between 2000 and 2020, and it is 20% for Sweden . "
2014_AAl_16_1.txt,"Change, addition, deletion of a part of collocation",is in between,is between,"The first, it is necessary to note that the peak of proportion is in between 2000 and 2020, and it is 20% for Sweden . "
2014_AAl_16_1.txt,Choice of lexical item,The second,Secondly,"The second, the graph clearly shows that the proportion of Japan was not very high, but gradually it begin to grow and we can see between 2020 and 2040 how the proportion sharply grows up, and in 2040 it is about 27%, that more than other countries. "
2014_AAl_16_1.txt,Choice of lexical item,had,was,"On the other hand, the minimum of proportion the countries had in 1940, which was about 5-10%. "
2014_AAl_16_1.txt,"Change, addition, deletion of a part of collocation",proportion,,"On the other hand, the minimum of proportion the countries had in 1940, which was about 5-10%. "
2014_AAl_16_1.txt,Choice of lexical item,grows up,increases,"The second, the graph clearly shows that the proportion of Japan was not very high, but gradually it begin to grow and we can see between 2020 and 2040 how the proportion sharply grows up, and in 2040 it is about 27%, that more than other countries. "
2014_AAl_16_2.txt,Word choice,do,make,"The first reason, why universities should not accept equal numbers of male and female students in every subject is that students should do their own choice without any opinions and restrictions. "
2014_AAl_17_1.txt,Choice of lexical item,it,there,"To sum up, we can say that people in this countries become older and in the future there will be less young people and as a result it will be less people who can work in effective way."
2014_AAl_17_1.txt,Choice of lexical item,rising,increase,"If we look the forecast, in the period from 2030 to 2040 there will be a significant rising. "
2014_AAl_17_1.txt,Choice of lexical item,falling,decrease,Then there was a falling from 1940 to 1960. 
2014_AAl_17_2.txt,Choice of lexical item,able,suitable,Critics of this position say that not all professions are able for both man and woman. 
2014_AAl_17_2.txt,Word choice,enter,enroll in,In comparison with the past there is no problem for any person to enter the university. 
2014_AAl_18_1.txt,Word choice,growing,going,"The two other countries show some similarity in growing up to 1980, but Sweden elder citizens are 2 percent less than American ones. "
2014_AAl_18_1.txt,"Change, addition, deletion of a part of collocation",Sweden elder population rises from 13 percent to 25 in 2040 with a small pause in between.,,"However, Sweden elder population rises from 13 percent to 25 in 2040 with a small pause in between. "
2014_AAl_18_1.txt,Choice of lexical item,fastly,sharply,After this point the population of elder people in Japan is surely rising up to ten percent in 2030 and fast increased to 27 percent in 2040. 
2014_AAl_18_1.txt,Word choice,are,reach a level,"The two other countries show some similarity in growing up to 1980, but Sweden elder citizens are 2 percent less than American ones. "
2014_AAl_18_1.txt,"Change, addition, deletion of a part of collocation",years,,It is clearly seen that the graph shows the differences in population after sixty five years between three chosen countries. 
2014_AAl_18_1.txt,Word choice,interrupted by,turning into,The tendency is interrupted by a stable percentage of the USA from 1990 to 2020 and its increase. 
2014_AAl_18_1.txt,Word choice,presented by,demonstrated by,The most dissimilar line to others is presented by Japan. 
2014_AAl_18_2.txt,Word choice,of solution of,to solve,There is a way of solution of such a problem . 
2014_AAl_18_2.txt,"Change, addition, deletion of a part of collocation",for higher education,,The bigger part of them are going to attend a university for higher education. 
2014_AAl_19_1.txt,Word choice,in,from,Following the time line it can be said that in the 1940 till 1950-es the differences between all three countries were quite irrelevant . 
2014_AAl_19_1.txt,Choice of lexical item,alike,similar,By the 2030 the tendency in all the three countries will be alike with the proportion reaching 20% and further 25% by the 2040 as predicted . 
2014_AAl_19_1.txt,Choice of lexical item,grow,growth,"Till the early 2000-es the situation was stable with a constant grow of the valued age group, whereas later Sweden shows a radical jump to over 20% rate. "
2014_AAl_19_2.txt,"Change, addition, deletion of a part of collocation",a 20:1 ratio,the ratio of 20:1,"Some natural or technic sciences are dominated by the males on a 20:1 ratio, while on some school teaching studies faculties there are no males at all. "
2014_AAl_19_2.txt,Word choice,human choice in their future,their choice of future life,"Some mechanic equalling may not respond adequately to some issues especially when we are talking about human choice in their future, but the main reason can be avoiding unnecessary obstacles on the path of peoples' choice."
2014_AAl_19_2.txt,"Change, addition, deletion of a part of collocation",attendency,enrolment,The first reason is that current attendance system is enough liberalised. 
2014_AAl_19_2.txt,"Change, addition, deletion of a part of collocation",break the rights,violate the rights,"While the rights of each gender group will be formally the same, factually that will break the rights of the others that were not accepted for the reasons they were unable to change or choose. "
2014_AAl_19_2.txt,"Change, addition, deletion of a part of collocation",natural or technic,,"Some natural or technic sciences are dominated by the males on a 20:1 ratio, while on some school teaching studies faculties there are no males at all. "
2014_AAl_19_2.txt,Word choice,on some school teaching studies faculties,in some education departments,"Some natural or technic sciences are dominated by the males on a 20:1 ratio, while on some school teaching studies faculties there are no males at all. "
2014_AAl_19_2.txt,Word choice,on the pooth of,in,"Some mechanic equalling may not respond adequately to some issues especially when we are talking about human choice in their future, but the main reason can be avoiding unnecessary obstacles on the path of peoples' choice."
2014_AAl_19_2.txt,Word choice,Some mechanic equaling,Just observing equal numbers of applicants of ether gender,"Some mechanic equalling may not respond adequately to some issues especially when we are talking about human choice in their future, but the main reason can be avoiding unnecessary obstacles on the path of peoples' choice."
2014_AAl_19_2.txt,Choice of lexical item,a position,an opinion,"The current University system does not include any gender barriers or obstacles, however there is a position that states the need for equalling the number of male and female student groups through out the University system. "
2014_AAl_19_2.txt,Word choice,stayes on the nessecity of,states the need for,"The current University system does not include any gender barriers or obstacles, however there is a position that states the need for equalling the number of male and female student groups through out the University system. "
2014_AAl_19_2.txt,"Change, addition, deletion of a part of collocation",student groups,students,"The current University system does not include any gender barriers or obstacles, however there is a position that states the need for equalling the number of male and female student groups through out the University system. "
2014_AAl_19_2.txt,Word choice,cure for,solution to,The question is whether it is a cure for some urgent problem or blossom. 
2014_AAl_1_1.txt,Choice of lexical item,part,the share,"142 Japan and Sweden part of elders has grown up in period between 1980 and nowadays, nevertheless USA keeps the same level. "
2014_AAl_1_1.txt,Choice of lexical item,held,be,Nevertheless a peak of proportion for all of three countries is real held in 2040. 
2014_AAl_1_1.txt,Choice of lexical item,keeps,has maintained,"142 Japan and Sweden part of elders has grown up in period between 1980 and nowadays, nevertheless USA keeps the same level. "
2014_AAl_1_1.txt,Choice of lexical item,Fluctuation,the proportion,"After that period, Fluctuation of every country has changed. "
2014_AAl_1_2.txt,"Change, addition, deletion of a part of collocation",Despite of,Despite,Despite of this sometimes sex discrimination appears in different civilized countries of our world. 
2014_AAl_1_2.txt,Word choice,tendency on,the process of,In different point of view situation in sex balance between males and females in universities will start tendency on granting really equal rights for everyone. 
2014_AAl_1_2.txt,"Change, addition, deletion of a part of collocation",In different point of view,"From another point of view,",In different point of view situation in sex balance between males and females in universities will start tendency on granting really equal rights for everyone. 
2014_AAl_1_2.txt,Choice of lexical item,sex,gender,Despite of this sometimes sex discrimination appears in different civilized countries of our world. 
2014_AAl_1_2.txt,Choice of lexical item,want,is willing to,"It will not be surprise that everyone want to make their choice personally, especially in question of education. "
2014_AAl_1_2.txt,Word choice,little number of,few,"There will be fair fight between male and female minds, but mankind know so many male names, and so little number of female important persons in science and politics. "
2014_AAl_1_2.txt,Word choice,certain,particular,I can agree with the Statement given in task only if one certain point will become true: number of men and women will be equal and the history will go in another way. 
2014_AAl_1_2.txt,Choice of lexical item,start tendency on,tend,In different point of view situation in sex balance between males and females in universities will start tendency on granting really equal rights for everyone. 
2014_AAl_1_2.txt,Choice of lexical item,sex,gender,In different point of view situation in sex balance between males and females in universities will start tendency on granting really equal rights for everyone. 
2014_AAl_1_2.txt,Choice of lexical item,question,issue,"The question of the sex discrimination was opened not so long ago, but several actions of feminist movements has lead to certain results. "
2014_AAl_1_2.txt,Choice of lexical item,sex,gender,"The question of the sex discrimination was opened not so long ago, but several actions of feminist movements has lead to certain results. "
2014_AAl_1_2.txt,Word choice,was opened,became important,"The question of the sex discrimination was opened not so long ago, but several actions of feminist movements has lead to certain results. "
2014_AAl_1_2.txt,Choice of lexical item,question,the matter,"It will not be surprise that everyone want to make their choice personally, especially in question of education. "
2014_AAl_1_2.txt,"Change, addition, deletion of a part of collocation",go in,go,I can agree with the Statement given in task only if one certain point will become true: number of men and women will be equal and the history will go in another way. 
2014_AAl_1_2.txt,Choice of lexical item,another,a different,I can agree with the Statement given in task only if one certain point will become true: number of men and women will be equal and the history will go in another way. 
2014_AAl_20_1.txt,Choice of lexical item,over,older,"In conclusion, the number of people reached 65 and over will increase dramatically in developed countries."
2014_AAl_20_1.txt,"Change, addition, deletion of a part of collocation",middle,mid,"However, from the 1960's it remained stable till middle 1980's . "
2014_AAl_20_2.txt,"Change, addition, deletion of a part of collocation",Setting,Setting up,Setting numbers like this is not efficient and unfair.
2014_AAl_20_2.txt,Word choice,struggle with,fight against,"In conclusion, I believe that we should struggle with discrimination. "
2014_AAl_20_2.txt,Word choice,empty places,vacancies,"Otherwise, if only three boys would decide to enter Foreign language department it would mean that only three places would be available for girls in spite of total number of empty places. "
2014_AAl_20_2.txt,Word choice,to enter,apply for,"Otherwise, if only three boys would decide to enter Foreign language department it would mean that only three places would be available for girls in spite of total number of empty places. "
2014_AAl_20_2.txt,Word choice,female,women,We still face discrimination between men and female in various spheres: it is particularly true for the education. 
2014_AAl_20_2.txt,Choice of lexical item,enter,study at,"For instance, if there is only two girls would like to go enter math faculty it means that only two boys can learn math despite on other pretenders desiring to enter this faculty. "
2014_AAl_20_2.txt,Choice of lexical item,pretendends,applicants,"For instance, if there is only two girls would like to go enter math faculty it means that only two boys can learn math despite on other pretenders desiring to enter this faculty. "
2014_AAl_20_2.txt,Word choice,go enter,apply for,"For instance, if there is only two girls would like to go enter math faculty it means that only two boys can learn math despite on other pretenders desiring to enter this faculty. "
2014_AAl_20_2.txt,Word choice,order,state of things,"Moreover, this order no doubt will be unfair. "
2014_AAl_21_1.txt,"Change, addition, deletion of a part of collocation",65 years,,"Nevertheless, scientists demonstrated that 1990-2020 consist of increasing of old people (65 years and over) is Sweden, but their decline in USA. "
2014_AAl_21_1.txt,"Change, addition, deletion of a part of collocation",65 years,,Countries in 1940 included only 5-10% of old people (65 years and over); but researchers suppose that amount of this people in population of countries will be about 20-30% to 2040. 
2014_AAl_21_1.txt,"Change, addition, deletion of a part of collocation",65-years,,"Secondly, Japan citizens always was very young because in their population 65-years people was not over then 5%. "
2014_AAl_21_2.txt,Choice of lexical item,take,get,"Obviously, girls are able to take knowledge about this subjects but they cannot to work and use their knowledge in practice. "
2014_AAl_21_2.txt,Choice of lexical item,individual,special,Every person is individual and everyone has special skills. 
2014_AAl_21_2.txt,Choice of lexical item,study,teach,Some of them are sure that universities should study equal numbers of men and women in every spheres. 
2014_AAl_21_2.txt,Choice of lexical item,amount,numbers,"To sum up, the general idea of modern education is not equal amount of girls and boys but is equal access to this education!"
2014_AAl_21_2.txt,Choice of lexical item,amount,number,"The topic of difference between male and female in different spheres of study is very important in modern world, because nowadays question of equal rights and opportunities is topical for large amount of people and organization. "
2014_AAl_22_1.txt,Choice of lexical item,amount,the percentage,"The graph presents the data on amount of population aged 65 and over since 1940 in Japan, Sweden and USA. "
2014_AAl_22_2.txt,Choice of lexical item,being,lead to,"If students see that their legally binding rights are not protected, this could being strikes and, consequently, decreasing of government's authority. "
2014_AAl_22_2.txt,Word choice,raises,gets worse,"And the problem raises, when it concerns young people who are truly believe in their own independence. "
2014_AAl_22_2.txt,Word choice,regarding to their so-called use,appropriate,"Moreover, the popular thought about diversification of subject regarding to their so-called use only for one sex should be rejected. "
2014_AAl_22_2.txt,Word choice,times,of situations in life,"It's not surprising, that girls and boys have different attitude in 90% times (as British newspaper ""Guardian"" claims) and that's why they have to adopt something from each other. "
2014_AAl_22_2.txt,Choice of lexical item,taken,distributed,"And least, but no less, is psychological problem: students should study and live in society where all roles are taken. "
2014_AAl_22_2.txt,Word choice,mess,mix up,"The magazine named ""Slon"" writes, that the men differs from the woman only physically and now it's very easy to mess both groups. "
2014_AAl_22_2.txt,Word choice,"And least, but no less","last, but not least","And least, but no less, is psychological problem: students should study and live in society where all roles are taken. "
2014_AAl_23_1.txt,"Change, addition, deletion of a part of collocation",in whole,on the whole,"All in all the graph shows, that the amount of people aged 65 and over is not static between 1940 and 2040, it changes dramatically and in whole is going up."
2014_AAl_23_1.txt,Choice of lexical item,amount,percentage,"According to this graph, the amount of such people in Sweden and USA is quite similar. "
2014_AAl_23_1.txt,Choice of lexical item,amount,proportion,"All in all the graph shows, that the amount of people aged 65 and over is not static between 1940 and 2040, it changes dramatically and in whole is going up."
2014_AAl_23_2.txt,Choice of lexical item,amount,numbers,"As for me, it does not matter how many male or female students are in studying group, but it is clearly, that universities should offer equal amount of places for boys and girls. "
2014_AAl_23_2.txt,Choice of lexical item,be,become,"For example, a programme to be a car driver or a pilot suits more for male students, while nail art's course is better for female students. "
2014_AAl_23_2.txt,Choice of lexical item,accept,offer,That's why universities cannot accept more places for boys or girls only. 
2014_AAl_24_2.txt,Choice of lexical item,ammount,numbers,"So, I'll try to emphasize the most significant characteristics of why the equal amount of males and females is not important for studying. "
2014_AAl_24_2.txt,Choice of lexical item,level,degree,"Furthermore, sometimes women don't want to get a high education level. "
2014_AAl_24_2.txt,Choice of lexical item,characteristics of,reasons for,"So, I'll try to emphasize the most significant characteristics of why the equal amount of males and females is not important for studying. "
2014_AAl_24_2.txt,Choice of lexical item,possibilities,opportunities,"Some people consider, that having the equal number of boys and girls in the particular university will bring more possibilities for communication. "
2014_AAl_25_1.txt,Choice of lexical item,"""belongs"" to",characterizes,"So we may see that sharp line which ""belongs"" to USA is the most steady. "
2014_AAl_25_1.txt,Choice of lexical item,temps,the pace,"USA is more constant, proportion of population rise, but temps are much lower. "
2014_AAl_25_1.txt,Choice of lexical item,amount,number,The most amount of changes connected with proportion of population in Sweden. 
2014_AAl_25_2.txt,Choice of lexical item,higher,,In our case - it will be the higher education - study at university. 
2014_AAl_25_2.txt,"Change, addition, deletion of a part of collocation","To be equal rights, but not in everything",,"To be equal rights, but not in everything."
2014_AAl_26_1.txt,"Change, addition, deletion of a part of collocation",such countries like,such countries as,"To sum up, it can be observed that, overall, the proportion of population over 65 years had grown up since 1940 in such countries like Japan, USA and Sweden, but in different ways."
2014_AAl_26_1.txt,"Change, addition, deletion of a part of collocation",65,65 years old,"The graph gives information about the average proportion of the population aged 65 and over between 1940 and 2040 in Japan, Sweden and USA. "
2014_AAl_26_1.txt,"Change, addition, deletion of a part of collocation",years,years old,"It can be clearly seen that population rates in Sweden and USA are approximately on the same level with several discrepancies in the time between 2000 and 2020, whereas proportion of population over 65 years in Japan was on the low level with slight fluctuations between 1940 and 2000 and then there was a dramatically increase between 2000 and 2040. "
2014_AAl_26_1.txt,"Change, addition, deletion of a part of collocation",years,years old,"To sum up, it can be observed that, overall, the proportion of population over 65 years had grown up since 1940 in such countries like Japan, USA and Sweden, but in different ways."
2014_AAl_26_1.txt,Choice of lexical item,"""calm""",flat,"There was two considerable rises in the proportion of population in Sweden in 1980 and 2010, whereas the line of USA's population is more ""calm"" - there is only one dramatically increase between 2020 and 2040 and steady rise between 1960 and 1980. "
2014_AAl_26_2.txt,Word choice,male and female groups of people,mixed groups of men and women,"Moreover, there is a plenty of scientist's researches convincing that working between male and female groups of people in equal proportions gives a much more favor. "
2014_AAl_26_2.txt,"Change, addition, deletion of a part of collocation",of all,at all,"Considering all arguments, it can be concluded that the idea of universities accepting equal number of male / female students is not good of all."
2014_AAl_26_2.txt,"Change, addition, deletion of a part of collocation",discrimination sexes,gender discrimination,"equal numbers mean equal opportunities for people, without discrimination sexes. "
2014_AAl_26_2.txt,Choice of lexical item,convincing,concluding,"Moreover, there is a plenty of scientist's researches convincing that working between male and female groups of people in equal proportions gives a much more favor. "
2014_AAl_26_2.txt,Choice of lexical item,give,dictate,"Another drawback of equal accepting numbers is that it can crushed all system of university's academic freedom - government will give concrete numbers of students, who should study in universities. "
2014_AAl_26_2.txt,Word choice,all,the whole,"Another drawback of equal accepting numbers is that it can crushed all system of university's academic freedom - government will give concrete numbers of students, who should study in universities. "
2014_AAl_26_2.txt,Choice of lexical item,type,system,"First of all, there is a necessary to say that one of the advantages of these type of accepting students is the equality between men and women. "
2014_AAl_26_2.txt,Choice of lexical item,accepting,admission,"Another drawback of equal accepting numbers is that it can crushed all system of university's academic freedom - government will give concrete numbers of students, who should study in universities. "
2014_AAl_26_2.txt,Word choice,female / male,a man or a woman,"Supporters claim that such thing can destroy the real competition between students, which is based on knowledge, not on female / male you are or not. "
2014_AAl_26_2.txt,Choice of lexical item,thing,approach,"Supporters claim that such thing can destroy the real competition between students, which is based on knowledge, not on female / male you are or not. "
2014_AAl_26_2.txt,Choice of lexical item,favor,benefit,"Moreover, there is a plenty of scientist's researches convincing that working between male and female groups of people in equal proportions gives a much more favor. "
2014_AAl_27_1.txt,Choice of lexical item,quantity,percentage,It's clear from the graph that in every compared country the quantity of people 65 years old and over would increase from 5%-10% in 1940 to 25% approximately in 2040. 
2014_AAl_27_1.txt,Word choice,ways,time and pace,"However, the ways of growing are different. "
2014_AAl_27_1.txt,"Change, addition, deletion of a part of collocation",in risk,at risk,It means that Japan will be in risk of demography problems.
2014_AAl_27_2.txt,Choice of lexical item,sex,gender,"Firstly, undulation should not depend on sex. "
2014_AAl_27_2.txt,Choice of lexical item,ability,potential,As a result of this equality students lose their ability for competition. 
2014_AAl_27_2.txt,Choice of lexical item,audience,application,"It depends on character of work, its aims and audience. "
2014_AAl_27_2.txt,Word choice,at women's consultation,in gynecology,"For example, it's really difficult for men to work at women's consultation centre because both doctor or client would be embarrassed. "
2014_AAl_27_2.txt,Choice of lexical item,sex,genders,"There is an opinion that universities should consist of equal parts of men and women, because society should give the same rights and possibilities for both sex. "
2014_AAl_27_2.txt,Choice of lexical item,undulation,admissions,"Firstly, undulation should not depend on sex. "
2014_AAl_27_2.txt,Choice of lexical item,persons,people,"We should not create barriers for ambitious persons and accept persons, who doesn't have interest in education, just because of sex equality. "
2014_AAl_27_2.txt,Choice of lexical item,parts,numbers,"There is an opinion that universities should consist of equal parts of men and women, because society should give the same rights and possibilities for both sex. "
2014_AAl_27_2.txt,Choice of lexical item,consist of,enroll,"There is an opinion that universities should consist of equal parts of men and women, because society should give the same rights and possibilities for both sex. "
2014_AAl_28_1.txt,Choice of lexical item,perpertual,permanent,"To sum everything up, it should be emphasized that in spite of different results, japan population (after a perpetual growth) increased dramatically more in contrast to other countries. "
2014_AAl_28_2.txt,Word choice,worth doing,relevant,"Frankly speaking it seems to me that such idea isn't worth doing as students should be accepted in accordance with their mental abilities, exam results and personal talents and capabilities. "
2014_AAl_28_2.txt,Choice of lexical item,particular,certain,"Besides, it also must be pointed out that there is a tendency for both groups to choose particular subjects . "
2014_AAl_28_2.txt,Word choice,realising,having,That is why strongly believe that equal number of male and female students doesn't seem so vital for realising an opportunity of getting an education. 
2014_AAl_28_2.txt,Choice of lexical item,quantity,number,The quantity of students should depend on their knowledge and capabilities and not on sex.
2014_AAl_28_2.txt,"Change, addition, deletion of a part of collocation",a plenty,,"However, it can't be called an unreliable rule, and of course, there are a plenty of exceptions. "
2014_AAl_29_1.txt,Choice of lexical item,amount,percentage,"The line graph gives an information about the amount of people over 65 years old basing on the statistic data of three countries: Japan, Sweden and the United States of America. "
2014_AAl_29_1.txt,Choice of lexical item,amount,percentage,The amount of such people in the United States slightly increased from 9% to 15% in the period from 1940 to 1980. 
2014_AAl_29_1.txt,"Change, addition, deletion of a part of collocation",number,percentage number,"Then the number of people from age group was more or less stable and, as it is shown on the graph, there is a sharp growth of it in the time period from 2025 to 2040. "
2014_AAl_29_1.txt,Choice of lexical item,amount,proportion,"According to the graph, the amount of people from the presented age group in Japan steadily fell in the period from 1940 to 1985. "
2014_AAl_29_2.txt,Choice of lexical item,think in different ways,think differently,It is not a secret that people of different genders think in different ways. 
2014_AAl_29_2.txt,Word choice,which,whose,"People, which cultures are different, also understand many things differently. "
2014_AAl_2_1.txt,Choice of lexical item,set,clear,It is set that in 2040 the percentages will reach their peak on the level of 24-26 per cent in all three countries. 
2014_AAl_2_1.txt,Choice of lexical item,population,percentage,The graph also shows predictions to the future Beginning from the year of 2020 the population of people aged 65 and over will rise. 
